"DOUGLAS (BOROUGH CEMETERY)",,,,,,,,,,,,
Grid ref,SC382776,Long,-4.480055,Lat,54.168619,,,,,,,
Station no,4415,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.30,3.80,2.25,4.25,5.12,4.28,3.70,5.45,3.64,5.55,,
February,3.08,0.95,2.18,5.17,4.00,0.91,4.26,6.37,1.43,3.90,,
March,4.23,2.85,0.62,3.90,2.47,1.37,3.78,1.74,3.03,2.24,,
April,1.50,1.43,3.33,0.57,3.13,1.11,1.05,1.11,2.53,3.56,,
May,3.90,2.71,2.63,2.71,2.65,1.48,3.07,3.35,0.97,2.92,,
June,0.89,2.55,1.63,2.22,4.80,2.46,1.79,3.83,2.77,1.81,,
July,2.06,1.41,5.03,3.51,2.58,4.25,3.01,4.73,2.35,6.09,,
August,5.05,5.16,5.23,4.64,2.44,7.96,3.02,5.41,0.29,2.85,,
September,5.27,4.28,5.71,6.23,3.00,4.45,6.38,4.79,1.35,4.40,,
October,0.88,4.86,5.00,8.97,3.25,3.57,5.82,3.70,5.05,5.62,,
November,7.65,3.60,5.91,7.47,2.39,1.48,3.94,3.78,7.12,8.76,,
December,6.77,5.57,2.65,7.20,6.34,4.04,4.10,6.53,9.99,5.52,,
Total,46.58,39.17,42.17,56.84,42.17,37.36,43.92,50.79,40.52,53.22,,
Calc annual,46.58,39.17,42.17,56.84,42.17,37.36,43.92,50.79,40.52,53.22,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
