"LANGHOLM, DUMFRIES",,,,,,,,,,
Grid ref,NY357854,Long,-3.0106978,Lat,55.158729,Elevation,290,ft,,
Station no,RR3057,,,,,,,,,
,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779
January,,,,5.2,1.15,7.2,-999,0.2,,
February,,,,2.5,3.2,5.1,-999,3.5,,
March,,,,1.6,0.53,3.8,2.6,1,,
April,,,,3.9,3.28,1.2,0.22,4.5,,
May,,,,1.2,2.62,0.5,0.38,3.25,,
June,,,,1,3.02,0.4,0.62,4,,
July,,,,1.1,5,3,3.12,2.32,,
August,,,,3.43,4.45,6,5.23,4.25,,
September,,,,8.3,5.98,4.5,5.5,2.15,,
October,,,,6.12,0.87,2.7,4.42,6.75,,
November,,,,2.9,2.1,2.2,4.23,4.65,,
December,,,,1.6,2.21,2.7,2.36,0.38,,
Total,,,,38.85,34.41,39.3,34.16,36.95,,
,,,,,,,,,,
NOT USED: TYRain_1677-1886_B_pt1-page-073.csv data mostly duplicate and those that vary do so by 0.1 at most so probably rounding errors from the original 3 decimal values recorded,,,,,,,,,,
NGR and Elevation were added to record in 27 July 1978,,,,,,,,,,
1776 Jan-Feb bracketed value,,,,,,,,,,
  ,,,,,,,,,,
