STOKE-POGES-STOKE-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU976841,Long,-0.593862,Lat,51.547362,Elevation,196,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.35,2.83,2.19,0.94,1.87,0.94,2.89,3.18,0.87,0.73,2.46,2.57,1.18,3.83,0.77,2.01,0.71,1.89,1.12,3.38,3.32,0.52,3.52,1.42,1.37,2.67,3.89,2.41,2.43,2.82,1.39,2.8,1.66,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.18,1.71,0.25,0.33,2.98,1.46,2.25,3.78,1.13,1.03,0.86,2.59,0.58,1.78,1.5,1.11,0.28,2.81,1.68,1.74,0.9,2.67,3.3,3.56,1.12,1.06,2.55,0.41,0.18,2.53,3.68,0.57,3.18,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0,2.54,1.24,3.59,3.77,0.57,0.59,0.65,1.51,1.62,2.73,1.31,3.69,1.41,1.16,3.14,2.84,0.85,1.46,3.75,1.77,4.3,1.05,4.25,1.49,1.03,4.14,1.61,0.83,1.68,2.3,1.14,0.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0,2.01,1.37,0.64,1.84,1.46,2.34,0.95,2.16,0.52,2.25,1.04,1.56,0.48,3.26,2.99,2.17,1.42,1.37,0,2.75,0.84,1.08,1.11,2.04,4.01,2.87,3.24,1.12,2.96,2.11,2.8,1.77,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.62,1.34,0.15,0.29,1.36,1.61,1.77,1.54,0.62,2.55,3.25,2.61,0.74,2.19,1.68,1.56,1.19,2.11,1.2,1.95,1.74,1.55,3.03,1.6,1.81,2.53,0.37,1.11,1.05,0.92,2.08,3.35,2.42,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.68,2.15,0.39,1.71,4,1.2,1.97,2.32,1.18,3.7,6.04,0.71,3.57,2.63,2.17,0.96,4.29,3.73,2.08,3.09,0.26,1.25,0.84,1.97,2.44,0.9,1.35,2.74,0.19,1.09,0.29,2.69,0,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.57,2.09,3.71,5.34,1.37,1.41,1.47,0.86,0.7,0.95,1.15,3.83,3.51,0.27,0.29,1.86,2.72,3.32,1.85,0.32,1.38,1.55,2.67,4.53,1.25,4.73,4.27,2.61,7.08,0.07,4.27,2.78,3.29,4.55,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.73,1.92,3.19,2.16,2.03,3.34,0.91,0.46,3.1,2.25,2.97,2.99,2.26,2.27,1.12,1.77,2.67,2.04,1.92,1.21,6.34,0.93,1.48,2.14,5.58,3.63,1.5,2.33,1.2,1.44,2.85,1.89,2.33,2.55,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.86,0.88,1.83,0.86,6.32,2.42,0.5,3.51,0.73,1.31,0.36,2.11,1.25,1.59,1.57,0.68,2.12,1.93,0.35,1.26,2.46,1.57,0.98,2.33,1.64,1.6,5.71,1.15,1.87,2.41,2.57,1.5,3.06,2.62,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.64,4.77,4.3,2.92,2.56,1.05,2.67,1.63,2,2.06,1.48,7.17,1.64,1.3,4.59,4.48,2.17,4.44,2.51,2.4,2.01,4.32,1.68,2.72,3.56,4.24,1.42,0.84,2.2,1.1,0.79,5.19,3.13,2.51,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
