CARMICHAEL HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 93654 38951,Long,-3.690754,Lat,55.632457,Elevation,786,ft,,,,,,,,,,,,
Station no,RR8962,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.61,3.84,1.29,1.88,0.57,2.66,,,,,
February,,,,,,,,,,1.74,0.76,0.18,2.25,3.4,7.63,,,,,
March,,,,,,,,,,1.31,2.38,2.35,0.57,1.01,1.78,,,,,
April,,,,,,,,,,2.03,1.21,0.41,0.82,0.84,1.66,,,,,
May,,,,,,,,,,2.32,3.61,1.76,3.05,1.34,2.64,,,,,
June,,,,,,,,,,0.91,3.02,1.08,2.24,1.82,2.63,,,,,
July,,,,,,,,,,2.93,2.44,2.02,1.63,2.13,3.25,,,,,
August,,,,,,,,,,4.18,4.2,6.47,5.98,2.49,5.23,,,,,
September,,,,,,,,,,1.75,2.86,4.79,3.21,2.4,0.47,,,,,
October,,,,,,,,,,2.91,2.19,3.24,3.8,2.64,1.55,,,,,
November,,,,,,,,,,1.14,,2.9,1.76,1.39,2.34,,,,,
December,,,,,,,,,,3.46,1.11,7.05,1.68,3.97,2.47,,,,,
Total,,,,,,,,,,26.29,,33.54,28.87,24,34.31,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1890 NP Nov +T estd deleted,,,,,,,,,,,,,,,,,,,,
Br 1891 P,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8962,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
