OLDLANDS-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ475278,Long,0.10209707,Lat,51.030645,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.28,5.39,1.94,2.97,4.34,4.44,3.24,5.56,1.54,4.86,3.19,3.14,2.32,3.54,1.78,5.02,7.19,4.36,5.38,2.45,3.11,3.01,5.26,2.37,2.26,2.16,,,,
February,,0.94,3.61,5.58,1.08,4.62,3.23,5.55,1.96,1.08,1.84,2.8,0.65,2.88,0.18,4.25,2.34,5.83,0.83,1.81,2.48,3.12,0.9,1.68,1.11,2.08,3.54,2.65,,,
March,,2.39,2.95,2.94,1.99,1.15,0.65,5.41,2.47,0.08,1.86,0.78,1.81,3.06,3.77,0.66,1.6,3.81,0.73,1.76,3.53,2.94,4.46,0.43,0.14,0.96,1.4,7.55,,,
April,,1.83,4.76,3.46,3.86,3.63,5.29,2.63,3.11,1.36,3.19,4.51,2.88,1.06,3.4,4.19,2.55,3.19,0.51,3.34,2.31,,1.21,1.75,1.75,1.2,2.32,,,,
May,,2.12,1.3,4.67,5.28,3.36,2.73,1.76,1.77,2.56,3.54,2.55,3.34,1.9,0.65,2.05,0.48,3.51,2.01,1.82,1.69,2.44,3.42,2.63,0.97,2.62,2.22,1.94,,,
June,,0.1,1.56,0.54,2.74,0.18,3.83,6.41,4.01,2.14,1.18,2.17,1.48,2.02,1.93,3.02,3.86,1.88,0.95,1.91,0.18,2.1,0.19,1.99,1.82,1.55,5.82,2.87,,,
July,,0.6,3.9,3.21,5.64,4.79,2.28,3.09,2.52,1.76,3.49,3.49,3.97,2.36,2.02,0.85,5.5,1.1,2.68,3.62,3.92,3.99,2.98,2.58,2.43,5.58,1.88,2.1,,,
August,,3.15,3.87,3.65,4.25,2.62,2.64,5.88,2.88,3.91,4.8,3.82,1.59,2.32,2.27,3.7,0.59,2.98,1.98,3.22,0.11,4.73,4.27,1.58,2.89,3.05,6.62,0.3,,,
September,,1.08,3.23,2.99,4.38,3.18,0.87,5.03,0.9,1.08,4.26,2.26,2.44,4.08,2.08,6.34,3.9,2.62,2.93,0.51,1.34,0.65,2.66,2.77,2.91,3.01,5.27,1.76,,,
October,,2.6,2.19,7.82,5.88,4.54,3.14,3.57,8.57,5.46,2.9,0.69,7.34,2.83,2.58,4.83,2.15,3.3,4.9,5.66,4.47,1.73,4.06,3.95,5.33,3.78,1.23,0.8,,,
November,,2.46,2.23,3.28,4.13,4.14,7.45,4.41,5.59,11.19,7.97,4.27,1.66,1.26,3.49,11.01,4.05,1.78,3.45,7.01,6.62,4.24,2.34,1.73,5.28,0.35,7.26,1.71,,,
December,,3.27,4.25,4.13,5.85,5.07,0.71,5.34,4.57,7.59,2.68,0.88,1.01,0.87,9.38,4.5,3.53,3.26,3.54,1.83,2.29,2.4,3.63,2.6,2.37,5.65,3.47,4.04,,,
Total,,24.82,39.24,44.21,48.05,41.62,37.26,52.32,43.91,39.75,42.57,31.41,31.31,26.96,35.29,47.18,35.57,40.45,28.87,37.87,31.39,,33.13,28.95,29.37,32.09,43.19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
