ASKAM SENIOR COUNCIL SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD214775,Long,-3.2059941,Lat,54.187223,Elevation,37,ft,,,,,,,,,,,,,
Station no,3018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.05,5.51,9.29,3.9,7.43,4.34,,,,,,,,,
February,,,,,,,6.55,3.52,4.31,2.14,0.51,3.96,,,,,,,,,
March,,,,,,,1.17,3.45,4.16,0.88,2.11,0.51,,,,,,,,,
April,,,,,,,1.87,2.21,2.06,2.9,2.57,2.6,,,,,,,,,
May,,,,,,,2.2,2.19,0.98,2.29,1.37,3.07,,,,,,,,,
June,,,,,,,2.69,3.92,5.06,2.83,1.35,6.97,,,,,,,,,
July,,,,,,,4.03,4.2,4.3,3.61,3.9,3.48,,,,,,,,,
August,,,,,,,4.25,6.84,5.33,5.5,7.64,2.98,,,,,,,,,
September,,,,,,,5.07,9.27,3.01,1.62,2.89,2.45,,,,,,,,,
October,,,,,,,3.61,4.26,7.35,6.66,8.73,3.34,,,,,,,,,
November,,,,,,,7.59,4.55,8.41,10.44,7.32,7.9,,,,,,,,,
December,,,,,,,1.54,1.3,4.66,6.38,5.9,3.4,,,,,,,,,
Total,,,,,,,45.62,51.22,58.92,49.15,51.72,45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mystical and imaginary value trancribed for 1934 Jan - REMOVED,,,,,,,,,,,,,,,,,,,,,
