"MONIAIVE GLENCROSH",,,,,,,,,,,,
Grid ref,NX762891,Long,-3.945684,Lat,55.180643,,,,,,,
Station no,5030,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.06,4.91,4.35,8.66,5.78,3.40,5.91,3.11,6.25,6.41,,
February,6.50,1.65,3.61,7.54,4.33,4.17,4.36,4.02,4.30,2.27,,
March,0.83,2.91,3.92,12.51,4.11,6.08,3.78,5.62,6.92,5.67,,
April,2.78,4.84,2.93,2.32,5.62,3.55,1.77,3.06,2.09,3.83,,
May,5.01,2.15,3.10,3.07,3.30,2.24,6.94,5.55,3.11,2.60,,
June,4.80,3.89,1.87,3.30,2.53,3.12,1.68,5.22,3.72,3.87,,
July,2.64,1.37,2.86,3.83,3.15,1.96,3.37,2.77,4.95,5.99,,
August,7.08,5.55,2.88,7.55,6.73,5.32,5.84,5.64,4.42,2.10,,
September,3.39,5.05,3.76,5.43,4.32,2.29,1.14,1.00,5.56,2.85,,
October,6.92,7.63,3.28,11.25,2.70,4.11,8.55,9.14,2.06,9.87,,
November,5.81,4.24,5.42,5.03,4.14,6.14,4.76,4.05,4.23,2.26,,
December,10.33,6.36,6.70,5.72,4.89,4.30,4.91,5.87,5.84,7.97,,
Total,62.15,50.55,44.68,76.21,51.60,46.68,53.01,55.05,53.45,55.69,,
Calc annual,62.15,50.55,44.68,76.21,51.60,46.68,53.01,55.05,53.45,55.69,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
