LOWER SWINESHAW RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK003992,Long,-1.9969471,Lat,53.489511,Elevation,884,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.59,2.39,3,3.6,1.31,5.66,3.46,4.4,5.23,2.78,6.1,5.92,1.67,0.76,0.77,4.19,5.81,6.5,2.47,6.59,1.86,2.27,2.58,5.03,4.2,5.22,2.47,3.41,2.41,2.1,1.56,3.72,6.58,4.93,2.48,4.05,4.04,4.23,3.13,4.97,2.15,4.86,3.35,4.67,1.39,3.38,3.63,3.82,6.6,4.36,2.93,2.9,4.18,5.48,7.28,3.18,4.4,3.46,3.17,3.84,4.72,10.29,2.08,5.58,6.91,4.93,2.7,3.01,3.02,3.38,4.12,4.92,5.59,2.08,2.39,4.01,4.74,6.67,4.91,5.34,3.36,9.46,2.61,3.41,5.08,4.98,2.31,4.5,3.31,5.51,3.36,4.14,3.93,6.19,,
February,,,,,,,,5.53,4.29,6.13,1.22,4.09,4.76,0.78,2.22,1.39,5.36,5.34,1.69,2.71,3.52,5.2,4,2.49,2.36,2.92,0.78,0.98,1.25,1.84,0.82,0.86,3.06,8.51,6.6,0.86,3.99,2.46,3.99,1.26,2.66,1.88,0.83,4.63,3.67,2.46,3.12,2.81,4.34,3.35,5.04,5.72,1.57,1.69,1.97,3.95,5.46,0.99,6.02,1.29,4.68,0.6,5.51,4.86,1.14,6.41,3.66,1.71,5.45,1.04,0.64,5.78,0.41,5.35,0.35,5.29,2.66,6.28,1.81,4.33,2.6,5.36,1.74,3.08,2.85,5.08,7.34,1.54,2.65,2.2,5.04,3.5,1.62,3.36,2.94,1.97,1.69,2.9,6.43,0.53,3.22,,
March,,,,,,,,1.64,5.43,1.56,3.37,1.6,3.38,2.31,5.48,0.84,5.79,3.51,3.29,1.92,3,5.75,4.01,0.93,2.23,2.9,3.04,1.88,3.14,3.15,5.34,2.47,0.53,1.07,4.51,4.55,6.21,4.09,2.81,2.88,0.81,3.05,2.88,5.39,2.49,4.9,4.02,4.26,4.35,3.62,0.77,2.62,5.25,3.96,5.76,2,1.73,2.11,1.65,6.06,2.99,3.32,2.78,1.99,1.52,2.03,1.95,5.09,1.94,1.37,2.8,0.48,2.9,3.18,3.37,2.43,2.35,2.38,1.57,2.76,3.39,4.89,2.26,1.72,0.95,1.62,1.36,5.07,1.29,1.98,2.35,5.28,2.77,2.75,2.81,2.25,1.39,4.01,2.55,1.99,1.02,,
April,,,,,,,,5.93,2.45,2.52,2.91,4.71,5.1,0.81,1.89,2.02,3.64,2.64,2.19,1.86,2.11,1.22,4.89,1.66,1.7,1.91,2.97,1.52,3.27,2.82,1.26,2.18,1.95,1.12,2.21,1.76,2.25,3.52,3.37,4.65,3.29,3.12,2.49,2.62,3.12,3.06,2.7,2.98,2.72,4.16,5.26,3.42,1.51,4.17,1.63,1.73,3.42,1.84,1.77,2.88,5.1,1.98,3.34,3.3,1.97,2.43,2.3,4.32,1.2,1.92,3.14,5.11,4.34,2.14,2.45,3.18,1.37,3.62,0.58,2.47,3.25,2.93,2.04,2.72,3.45,2.66,1.95,3.12,1.54,4.9,4.02,2.89,4.07,2.58,1.09,2.19,3.18,1.01,1.33,3.3,2.49,,
May,,,,,,,,2.63,2.22,3.29,2.1,2.92,3.86,2.68,2.76,2.53,1.53,4.06,4.02,2.71,2.62,4.74,1.65,1.6,2.11,2.32,8.63,2.8,1.6,2.59,3.8,5.08,8.02,5.4,2.9,1.39,0.82,2.35,4.79,3.46,1.56,1.05,3.35,3.33,3.24,0.94,4.05,5.24,2.9,2.41,3.51,2.27,3.4,3.04,2.75,2,3.48,3.34,2.95,2.1,7,2.25,1.63,4.45,5.69,4.55,5.3,1.28,1.22,3.06,2.21,2.51,4.83,1.89,2.98,0.75,0.81,2.33,4.14,2.61,2,2.64,3.63,2.35,4.78,3.61,1.44,3.47,1.39,3.02,1.62,1.96,2.49,2.62,3.87,4.17,1.58,1.3,3.39,1.1,2.02,,
June,,,,,,,,2.78,0.42,1.58,2.45,5.4,7.3,3.21,0.91,3.54,4.37,3.56,3.38,5.34,2.78,1.85,8.89,5.57,1.03,4.22,2.59,0.41,3.63,0.81,4.98,2.91,5.6,3.82,4.41,3.14,3.79,4.25,4.31,2.18,7.15,2.76,1.59,1.95,1.2,4.11,2.15,8.28,1.83,3.59,4.29,5.12,5.44,2.9,3.94,2.73,5.46,2.08,2.2,2.52,3.47,0.52,3.5,1.41,3.01,0.09,4.13,5.76,7.53,1.67,4.11,6.49,0.59,3,2.28,4.01,3.06,2.23,5.1,3.34,1.02,2.32,1.23,4.02,3.66,5.62,3.96,2.79,5.74,1.18,3.46,1.67,3.32,4.51,3.71,2.94,3.51,2.39,5.38,2.88,1.98,,
July,,,,,,,4.81,6.04,0.61,1.62,3.04,5.12,5.6,5.16,1.97,5.14,4.5,5.38,1.03,5.91,6.52,4.15,5.65,3.32,4.12,2.25,4.91,2.07,8.09,3.99,4.24,5.79,5.05,5.48,4.06,8.86,2.75,2.46,1.3,2.97,4.78,3.31,2.86,5.1,1.84,3.12,2.81,4.08,7.31,7.83,6.69,0.58,5.78,1.14,4.52,5.84,2.66,2.75,5.06,2.69,8.52,2,5.6,5.29,4.47,2.35,2.43,4.76,2.46,3.55,7.79,5.05,7.51,4,5.17,2.33,4.56,3.59,5.13,7.85,5.99,2.85,5.1,2.84,4.44,2.17,7.87,3.59,2.58,2.27,3.94,4.07,4.21,7.43,7.81,1.42,6.89,5.42,5.39,4.12,8.25,,
August,,,,,,,6.27,3.12,3.23,3.46,2.64,2.26,4.32,5.32,5.48,3.06,4.65,6.5,5.46,7.49,1.72,5.72,4.07,4.22,2.65,2.15,3.22,2.16,4.75,8.05,6.5,10.47,6.6,4.98,6.57,5.73,4.33,4.84,9.05,3.09,8.87,3.13,5.14,5.33,4.89,4.94,4.36,6.15,3.91,4.06,7.52,4.21,9,2.35,4.03,5.23,3.1,6.08,4.17,4.04,3.33,5.61,5.92,4.98,6.59,3.94,5.4,6.12,6.56,6.15,6.24,6.74,1.55,1.61,3.56,2.16,3.38,1.79,4.08,2.32,2.6,6.47,4.91,6.9,4.13,3.31,4.84,0.51,5.49,3.64,4.89,6.03,3.28,5.35,7.56,0.71,11.88,5.97,4.54,0.49,6.33,,
September,,,,,,,7.56,3.09,1.92,7.22,4.02,6.15,8.08,3.32,4.46,5.94,4.6,3.23,6.29,3.23,6.15,2.92,3.8,7.01,3.69,4.14,4.58,5.12,2.51,4.44,1.74,6.14,6.19,4.81,1.02,1.95,7.87,5.99,0.84,8.64,1.77,0.92,1.28,5.59,1.79,3.24,2.14,1.14,4.57,3.74,0.34,5.22,2.79,2.02,2.96,1.03,3.56,3.13,10.82,2.42,3.12,1.2,4.77,4.89,3.77,4.2,3.48,7.24,1,2.09,4.62,5.24,5.13,1.71,3.42,6.01,7.21,2.07,2.16,1.65,4.41,0.78,3.14,4.96,6.04,3.31,6.34,2.57,2.83,1.32,6.91,2.98,4.6,2.82,5.43,2.52,3.28,8.45,5.1,0.28,3.73,,
October,,,,,,,2.74,4.43,5.7,4.08,13.94,6.62,5.22,6.2,4.73,5.91,2.78,4.78,4.17,3.08,4,4.5,5.15,6.37,3.03,8.24,7.13,3.32,2.18,4.81,3.89,7.43,12.34,3.67,7.01,4.3,7.99,2.82,5.96,4.73,6.6,4.91,6.76,10.17,1.91,4.68,6.63,7.29,1.39,7.92,3.91,3.7,4.42,2.06,2.99,1.81,6.24,6.57,3.27,2.99,1.27,2.92,1.26,4.98,5.92,5.34,4.15,3.81,4.23,5.69,6.34,2.42,8.08,5.7,6.3,7.83,5.16,1.81,8.9,2.61,3.74,6.02,7.17,3.1,4.19,6.63,0.66,0.91,3.23,3.66,2.51,1.21,4.73,2.05,8.21,2.71,3.4,5.43,3.92,3.64,4.76,,
