Rainfall at,LOWER SWINESHAW RESERVOIR
,
Station no,2936,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.48,7.28,3.18,4.40,3.46,3.17,3.84,4.72,10.29,2.08,5.58,
February,4.68,0.60,5.51,4.86,1.14,6.41,3.66,1.71,5.45,1.04,0.64,
March,2.99,3.32,2.78,1.99,1.52,2.03,1.95,5.09,1.94,1.37,2.80,
April,5.10,1.98,3.34,3.30,1.97,2.43,2.30,4.32,1.20,1.92,3.14,
May,7.00,2.25,1.63,4.45,5.69,4.55,5.30,1.28,1.22,3.06,2.21,
June,3.47,0.52,3.50,1.41,3.01,0.09,4.13,5.76,7.53,1.67,4.11,
July,8.52,2.00,5.60,5.29,4.47,2.35,2.43,4.76,2.46,3.55,7.79,
August,3.33,5.61,5.92,4.98,6.59,3.94,5.40,6.12,6.56,6.15,6.24,
September,3.12,1.20,4.77,4.89,3.77,4.20,3.48,7.24,1.00,2.09,4.62,
October,1.27,2.92,1.26,4.98,5.92,5.34,4.15,3.81,4.23,5.69,6.34,
November,1.54,2.18,3.41,6.62,2.22,3.31,4.42,4.43,6.91,8.94,5.23,
December,2.75,6.48,4.41,4.23,4.26,3.65,2.14,0.90,3.08,7.15,2.99,
Total,49.25,36.34,45.31,51.40,44.02,41.47,43.20,50.14,51.87,44.71,51.69,
Calc annual,49.25,36.34,45.31,51.40,44.02,41.47,43.20,50.14,51.87,44.71,51.69,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
