"LOCH LURKLAND",,,,,,,,,,,,
Grid ref,NC401297,Long,-4.724476,Lat,58.226933,,,,,,,
Station no,5799/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,7.08,6.57,2.30,8.24,8.11,10.33,11.84,6.28,,
February,,,5.78,4.74,6.12,5.09,4.50,8.28,3.02,5.25,,
March,,,3.91,4.70,2.84,1.42,6.82,3.88,2.00,1.48,,
April,,,6.38,3.12,2.16,3.75,2.63,4.20,-999.00,5.70,,
May,,,4.89,5.11,5.76,3.47,2.36,8.02,3.81,1.47,,
June,,,3.52,5.43,2.81,3.30,4.38,2.35,3.74,3.64,,
July,,,2.75,6.96,0.48,6.12,5.43,2.29,7.99,3.09,,
August,4.65,,8.10,3.75,0.58,6.63,9.79,6.78,3.90,4.95,,
September,2.00,,11.36,7.57,8.51,3.99,8.56,2.78,3.44,2.16,,
October,3.55,,4.16,11.87,7.81,7.69,10.43,7.88,9.08,3.57,,
November,8.48,,16.77,5.63,4.05,7.60,5.32,3.19,8.94,4.36,,
December,10.17,,5.98,14.65,10.56,10.03,12.23,4.90,5.94,9.57,,
Total,,,80.68,80.10,53.98,67.33,80.56,64.88,69.35,51.52,,
Calc annual,28.85,0.00,80.68,80.10,53.98,67.33,80.56,64.88,63.70,51.52,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,5.65,0.00,,
