DAWLISH-SPORTS-FIELD,,,,,,,,,,,,,,,,
Grid ref,SX967773,Long,-3.4605,Lat,50.58682,Elevation,75,ft,,,,,,,,
Station no,1732/1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,6.22,6.96,4.46,6.15,2.26,4.97,4.47,7.68,,,,,,,
February,,3.06,6.22,0.99,1.81,3.98,3.61,0.23,1.69,0.29,,,,,,
March,,4.55,5.26,0.23,1.67,3.02,3.28,2.76,1.23,0.19,,,,,,
April,,2.63,2.73,0.16,2.27,3.59,1.91,2.04,1.06,2.02,,,,,,
May,,1.01,2.46,2.26,0.48,1.74,2.4,6.44,3.24,0.26,,,,,,
June,,1.04,1.05,1.13,2.92,0.74,2.31,0.71,1.05,1.9,,,,,,
July,,5.29,1.48,2.89,5.5,2.44,0.68,1.53,2.32,2.4,,,,,,
August,2.52,0,1.6,4.2,2.82,0.08,3.97,4.12,2.52,,,,,,,
September,2.46,2.96,2.36,1.07,1.35,1.14,0.99,2.72,3.43,,,,,,,
October,2.48,0.93,3.31,3.35,5.06,3.83,1.43,4.03,2.78,,,,,,,
November,5.88,2.75,2.33,6.29,5.78,6.21,2.32,0.81,2.13,,,,,,,
December,5.08,4.34,3.62,3.57,1.87,3.55,2.94,4.02,3.23,,,,,,,
Total,,34.78,39.38,30.6,37.68,32.58,30.81,33.88,32.36,,,,,,,
,,,,,,,,,,,,,,,,
1935 July 30 Gauge moved to Organized Sport Field Surrounded by turf wall,,,,,,,,,,,,,,,,
Several sports fields in this area NGR fits distances and elevation,,,,,,,,,,,,,,,,
1936 Aug Trace replaced by 0,,,,,,,,,,,,,,,,
1944 Apr We asked for return of MO gauge issued on loan for use at Sport Field The gauge was however purchased for use at a new site,,,,,,,,,,,,,,,,
