"BRISTOL SMALL STREET",,,,,,,,,,,,
Grid ref,ST587730,Long,-2.595775,Lat,51.454465,,,,,,,
Station no,RR163,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,1.81,1.75,4.24,,,,,,,,
February,6.29,1.07,0.70,1.94,,,,,,,,
March,1.26,2.89,1.65,4.50,,,,,,,,
April,0.96,3.08,1.27,2.88,,,,,,,,
May,2.39,0.90,1.64,3.41,,,,,,,,
June,1.96,1.66,2.60,3.88,,,,,,,,
July,0.89,2.31,0.98,1.56,,,,,,,,
August,2.38,2.66,3.86,4.04,,,,,,,,
September,0.63,1.52,1.71,3.21,,,,,,,,
October,3.68,1.30,2.42,8.11,,,,,,,,
November,2.55,0.39,2.41,1.71,,,,,,,,
December,6.26,5.44,3.27,3.13,,,,,,,,
Total,33.25,25.03,24.26,42.61,,,,,,,,
Calc annual,33.25,25.03,24.26,42.61,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
