BRISTOL SMALL STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST587730,Long,-2.595775,Lat,51.454465,Elevation,52,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.41,3.32,2.59,1.03,1.93,4.52,0.99,3,4.11,1.23,2.99,4.19,4.43,5.16,5.1,2.23,1.81,5.75,4.1,3.58,4.78,2.36,4.12,1.7,3.85,0.57,1,2.21,3.44,4.07,2.35,4.01,1.87,0.83,0.63,3.55,3.44,1.21,2.1,2.72,3.62,0.38,1.69,0.98,4.96,4,1.81,1.75,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.19,1.83,1.27,1.05,1.55,0.88,2.33,0.29,0.64,1.68,2.26,4.48,2.61,1.6,4.28,1.21,1.27,3.96,1.23,2.04,2.31,4.41,1.63,1.61,3.63,4.37,3.7,2.16,3.33,1.49,2.96,0.68,0.59,1.46,1.24,0.54,0,1.52,3.82,3.79,0.14,0.41,3.17,1.6,4.27,6.29,1.07,0.7,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.22,1.12,1.6,0.59,4.39,2.5,2.9,4.16,0.76,2.31,0.97,1.97,4.11,1.6,1.18,1.31,1.33,2.05,3.16,1.92,1.24,3.6,1.8,2.33,0.91,2.56,1.73,1.89,0.85,2.23,1.12,2.25,1.99,3.18,3.9,0.98,2.72,0.59,0.5,2.33,2.27,3.27,4.02,0.81,1.09,1.26,2.89,1.65,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.43,3.83,2.56,3.07,2.76,1.44,0.02,2.63,2.07,1.22,0.62,1.5,3.18,2.01,0.77,0.84,3.42,2.56,0.45,1.84,1.84,2.7,3,2.72,2.45,2.26,0.48,3.74,0.65,1.02,1.86,2.04,1.72,1.53,4.32,1.03,0.93,0.87,0.04,2.12,2.26,0.61,3.63,2.1,3.2,0.96,3.08,1.27,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.18,3.25,1.86,2.62,2.09,2.96,1.11,2.95,2.04,0.67,1.69,1.05,2.2,1.64,5.56,1.35,1.03,2.43,2.48,0.66,2.63,0.23,2.44,5.61,2.25,1.14,1.24,1.78,1.26,2.13,3.14,4.13,2.14,1.24,2.01,1.58,3.64,0.79,1.12,1.5,0.51,0.22,1.64,2.89,2.08,2.39,0.9,1.64,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.42,1.65,1.74,1.91,1.75,5.88,3.32,2.36,3.86,1.56,1.53,3.43,1.92,0.62,0.91,0.53,1.33,3.05,0.94,1.03,3.05,0.75,0.9,2.73,4.28,2.38,3.06,2.93,2.81,3.75,1.3,0.81,1.02,3.69,0.48,3.01,2.36,2,0.96,2.05,0.86,1.05,3.02,1.26,1.32,1.96,1.66,2.6,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.59,1.86,2.6,1.68,3.08,1.67,3.41,2.09,0.38,0.76,4.23,2.09,2.81,0.5,0.96,1.35,4.46,3.26,4.14,1.17,5.68,1.44,3,1.84,3.53,4.31,2.33,5.56,2.8,3.57,0.63,2.7,0.97,5.47,3.84,3.41,3.03,3.01,3.42,4.95,2.98,0.85,1.84,0.37,0.55,0.89,2.31,0.98,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.53,3.98,3.24,1.43,4.03,4.75,1.83,1.14,3.35,0.83,8.62,3.13,1.9,5.52,1.58,1.76,1.42,2.04,3.18,3.61,1.46,4.31,4.98,3.8,7.08,0.48,5.28,4.36,1.94,2.18,2.36,1.87,3.26,2.04,2.74,2.76,7.79,4.46,2.05,2.96,3.15,2.05,8.08,3.5,1.58,2.38,2.66,3.86,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.92,4.87,1.65,2.93,3.81,2.13,3.39,2.1,2.92,2.61,0,7.41,1.38,2.72,4.87,1.78,5.23,1.82,2.66,6.7,4.24,4.75,2.81,2.34,3.72,3.58,1.88,2.44,3.99,1.59,4.54,2.49,3.08,1.08,1.92,1.35,2.36,3.01,1.31,2.99,1.12,7.6,3.78,1.03,4.14,0.63,1.52,1.71,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.02,2.49,3.2,2.48,1.94,2.57,1.89,5.02,4.47,1.59,4.7,1.73,3.19,2.79,2.57,4.91,2.34,3.63,4.57,2.74,6.49,2.85,2.86,6.18,1.53,6.59,1.95,6.71,2.83,0.94,4.25,4.22,2.15,0.81,2.1,1.62,8.39,2.53,4.93,3.43,4.13,5.15,1.05,5.28,2.98,3.68,1.3,2.42,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
