"MASHAM MOOR (FOWLER HILL)",,,,,,,,,,,,
Grid ref,SE154798,Long,-1.765358,Lat,54.213706,,,,,,,
Station no,3413,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,3.12,0.71,2.96,2.87,4.77,4.23,4.26,3.78,5.86,,
February,4.55,0.56,3.14,3.40,2.28,2.57,3.68,6.60,0.12,4.58,,
March,4.69,2.23,0.46,2.73,2.55,1.53,2.08,2.79,2.37,3.27,,
April,2.23,1.75,3.04,0.67,0.82,2.10,0.33,0.99,4.17,1.94,,
May,8.26,1.95,2.88,4.75,3.47,0.68,1.88,5.31,1.14,1.44,,
June,1.19,1.01,3.86,2.10,2.59,3.26,1.52,3.78,1.71,0.95,,
July,1.35,1.17,3.49,2.33,1.04,5.64,4.00,2.91,1.81,4.50,,
August,5.55,3.56,3.40,6.83,1.62,7.91,6.76,3.42,0.84,3.26,,
September,1.81,4.72,2.91,3.43,1.54,4.44,4.12,3.37,0.16,3.71,,
October,1.65,4.57,2.31,6.92,2.31,2.18,3.72,2.97,4.17,7.97,,
November,9.96,2.66,2.78,8.16,2.54,0.89,2.51,0.94,5.99,6.48,,
December,5.77,2.68,2.21,3.75,4.90,4.40,3.79,5.10,8.83,5.09,,
Total,50.23,29.98,31.19,48.03,28.53,40.37,38.62,42.44,35.09,49.05,,
Calc annual,50.23,29.98,31.19,48.03,28.53,40.37,38.62,42.44,35.09,49.05,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
