DODINGTON-(COUNTING-HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,ST174399,Long,-3.18168,Lat,51.15242,Elevation,450,ft,,,,,,,,,,,,,
Station no,2091/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,3.39,4.12,2.24,3.55,0.99,4.27,6.68,4.66,6.13,
February,,,,,,,,,,,,2.6,0.08,3.05,0.34,2.74,2.71,5.26,1.15,1.57,
March,,,,,,,,,,,,1.23,2.5,3.62,2.89,0.89,4.11,5.33,0.25,1.91,
April,,,,,,,,,,,,3.18,2.55,1.37,3.72,4.3,2.61,3.36,0.13,3.46,
May,,,,,,,,,,,,4.02,4.15,2.63,1.19,1.77,1.35,2.23,2.5,1.13,
June,,,,,,,,,,,,2.73,1.16,2.01,1.54,2.28,2.65,1.07,1.62,3.12,
July,,,,,,,,,,,,3.62,2.5,1.69,0.12,0.54,5.2,2.58,3.11,4.52,
August,,,,,,,,,,,,5.59,1.55,1.1,4.04,4.23,0.46,1.11,5.19,3.03,
September,,,,,,,,,,,,1.83,5.92,1.34,2.46,4.03,4.77,3.14,2.07,1.02,
October,,,,,,,,,,,,1.16,7.39,5.17,4.15,5.82,2.02,3.6,3.95,3.63,
November,,,,,,,,,,,,6.06,2.66,1.11,1.93,7.09,3.32,2.52,4.59,6.58,
December,,,,,,,,,,,4.84,2.25,2.44,1.25,7,5.85,3.74,3.36,4.02,2.3,
Total,,,,,,,,,,,,37.66,37.02,26.58,32.93,40.53,37.21,40.24,33.24,38.4,
,,,,,,,,,,,,,,,,,,,,,
Lived at the Counting House,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
