RIPON-BORRAGE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE309709,Long,-1.5285995,Lat,54.133024,Elevation,92,ft.,,,,,,,,,,,,
Station no,RR7895,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.89,4.81,2.61,1.48,0.4,,1.88,4.33,,,,,,
February,,,,,,,3.17,1.68,1.52,2.72,2.87,,1.17,2.09,,,,,,
March,,,,,,,3.41,3.43,0.56,1.17,1.15,,2.13,1.64,,,,,,
April,,,,,,,2.53,2.97,1.48,2.06,1.83,,3.7,1.98,,,,,,
May,,,,,,,-999,2.68,4.85,1.57,2,,1.79,1.38,,,,,,
June,,,,,,,-999,0.84,3.62,3.86,2.79,,2,3.05,,,,,,
July,,,,,,,-999,3.04,0.78,3.24,4.29,,2.75,4.48,,,,,,
August,,,,,,,-999,3.7,4.31,3.42,1.89,,2.57,1.03,,,,,,
September,,,,,,,3.1,4.02,2.37,1.13,3.67,,1.57,4.68,,,,,,
October,,,,,,,2.12,7.31,1.51,,4.6,,3,2.28,,,,,,
November,,,,,,,2.82,1.8,4.64,,2.84,,2.87,2.44,,,,,,
December,,,,,,,5.05,2,1.85,,5.41,,2.58,1.24,,,,,,
Total,,,,,,,26.66,38.28,30.1,,33.74,,28.01,30.62,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Borrage House. Altitudes match.,,,,,,,,,,,,,,,,,,,,
1870s sheet has been scanned twice,,,,,,,,,,,,,,,,,,,,
Combined readings for 1876 May/Jun 2.35. Jul/Aug 1.22,,,,,,,,,,,,,,,,,,,,
