GWYTHERIN-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH877614,Long,-3.6801877,Lat,53.137881,Elevation,730,ft.,,,,,,,,,,,,,,
Station no,4311,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,
January,6.61,7.31,7.08,3.76,3.34,5.56,6.18,5.55,8.91,1.5,7.65,4.19,6.02,5.01,4.61,2.53,,,,,,
February,5.39,0.65,6.43,7.4,1.34,7.86,2.6,2.92,5.37,0.3,0.47,4.52,0.1,4.27,0.34,6.6,,,,,,
March,6.96,4.93,4.77,1.87,1.49,1.82,1.06,6.16,2.75,0.31,3.57,1.13,3.05,2.8,3.62,1.33,,,,,,
April,6.37,1.85,3.42,2.9,2.62,2.88,2.62,2.13,1.88,1.31,4.1,5.02,5.54,2.23,2.72,4.36,,,,,,
May,5.67,2.92,1.08,5.37,6.2,4.52,3.49,2.35,1.72,2.5,1.15,3.94,4.16,1.39,3.35,1.54,,,,,,
June,2.77,0.57,1.73,1.16,2.72,0.12,2.62,5.21,7.58,1.83,1.93,3.56,1.48,3.37,2.32,6.54,,,,,,
July,8.87,2.61,5.98,2.64,4.6,2.54,6.43,4.23,0.85,4.27,3.11,3.24,6.54,2.78,1.44,1.54,,,,,,
August,4.46,6.17,2.78,4.69,7.18,2.94,3.3,8.22,4.28,4.54,5.82,7.02,2.4,1.66,4.88,1.74,,,,,,
September,4.02,1.64,3.64,3.88,6.5,5.28,3.28,6.62,2.36,2.49,3.8,4.65,4.33,1.62,4.06,8.01,,,,,,
October,2.43,2.88,1.17,8.93,4.7,6.88,4.24,6.54,7.93,6.54,7.46,1.91,7.24,5.1,6.96,8.61,,,,,,
November,2.77,3.32,2.97,8.66,2.4,3.3,7.71,5.76,8.38,8.38,6.7,9.89,3.27,2.2,2.41,5.83,,,,,,
December,4.88,8.63,10.68,4.38,8.05,6.51,1.34,2.68,3.98,9.84,6.74,3.15,3.25,1.68,6.53,3.2,,,,,,
Total,61.2,43.48,51.73,55.64,51.14,50.21,44.87,58.37,55.99,43.81,52.5,52.22,47.38,34.11,43.24,51.83,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"NGR is a school in Gwytherin, assumed to be the County School; relationship to church matches. Altitudes match",,,,,,,,,,,,,,,,,,,,,,
