"APPIN, AIRDS",,,,,,,,,,,,
Grid ref,NM909449,Long,-5.403387,Lat,56.549404,,,,,,,
Station no,RR26,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.23,4.22,4.09,6.50,10.70,3.48,6.03,6.80,6.79,5.60,,
February,2.51,1.56,1.10,6.70,5.05,3.52,3.31,4.67,4.88,2.88,,
March,0.30,2.07,5.23,7.48,2.83,5.28,2.66,4.46,3.95,0.65,,
April,3.38,3.96,2.05,2.69,5.05,2.92,2.18,3.20,1.30,4.26,,
May,5.60,1.55,2.62,2.50,5.44,3.34,4.08,4.17,3.70,3.69,,
June,3.05,4.02,1.95,2.97,3.73,1.30,1.45,5.43,3.38,1.25,,
July,5.19,2.50,3.17,6.15,2.97,5.82,4.98,2.80,4.25,4.40,,
August,6.56,5.90,4.24,8.11,7.17,4.93,4.74,7.92,4.71,4.00,,
September,6.10,3.65,4.52,3.81,5.00,10.95,4.09,2.09,8.50,2.45,,
October,7.35,7.30,4.67,10.70,3.25,4.11,5.70,2.73,1.50,7.30,,
November,4.79,4.94,3.80,4.85,3.25,4.00,3.80,3.96,4.28,3.36,,
December,8.85,4.40,5.23,10.96,4.40,3.48,4.65,5.76,6.31,3.00,,
Total,61.91,46.07,42.67,73.42,58.84,53.13,47.67,53.99,53.55,42.84,,
Calc annual,61.91,46.07,42.67,73.42,58.84,53.13,47.67,53.99,53.55,42.84,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
