APPIN AIRDS (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM909449,Long,-5.403387,Lat,56.549404,Elevation,38,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,8.3,7.2,6.9,7.3,7.5,5.8,1.8,4.58,1.74,6.29,6.3,8.14,4.28,4.8,5.36,5.6,5.69,8.71,5.41,6.91,2.6,7.95,1.83,5.74,1.27,5.09,5.33,8.23,4.22,4.09,6.5,10.7,3.48,6.03,6.8,6.79,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.6,3.2,2.3,5,8,3.6,1.9,6.08,3.83,5.85,5.86,4.42,3.15,3.3,5.5,1.9,3.32,0.28,4.91,2.48,5.25,7.16,0.38,4.75,3.56,5.67,6.9,2.51,1.56,1.1,6.7,5.05,3.52,3.31,4.67,4.88,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.9,7,2.7,7.3,3.3,3.5,4.3,3.59,4.74,7.48,1.4,1.56,1.58,3.62,2.94,0.95,4.47,6.63,3.05,1.3,2.1,5.4,3.9,8.4,6.25,3.11,5.8,0.3,2.07,5.23,7.48,2.83,5.28,2.66,4.46,3.95,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.2,4.2,2.9,1.9,2.4,2.5,1.5,3.81,1.21,3.54,2.26,0.96,2.43,3.18,2.75,2.75,1.68,1.52,0.65,1.23,2.33,1.24,2.9,3,2.72,4.52,5.16,3.38,3.96,2.05,2.69,5.05,2.92,2.18,3.2,1.3,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.7,2.7,5,1.1,3.3,3.8,3.45,2.69,2.94,3.07,3.42,4.48,2.67,3.5,1.36,5.2,3.71,2.08,2.38,6.33,3.54,4.04,1.12,1.19,4,3.35,2.72,5.6,1.55,2.62,2.5,5.44,3.34,4.08,4.17,3.7,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,4.2,3,4.4,6.7,7.6,3.8,3.62,3.12,5.3,4.47,2.92,1.9,3.3,2.05,2.9,3.52,1.4,6.64,1.68,3.5,0.89,4.01,1.82,3.9,4.6,3.54,1.47,3.05,4.02,1.95,2.97,3.73,1.3,1.45,5.43,3.38,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,7.4,5.2,2.9,4.5,5.5,2.4,6.72,4.14,7.91,7.09,3.58,6.62,3.3,5.15,4.8,4.92,1.47,5.13,3.3,4.85,4.5,4.4,4.76,4.05,4.98,2.07,4.3,5.19,2.5,3.17,6.15,2.97,5.82,4.98,2.8,4.25,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,5.9,7.7,9.2,4.4,4.6,4.2,5.5,2.44,5.55,3.69,6.91,5.26,2.58,4.23,3.73,4.81,6.28,5.21,6.45,5.65,6.5,6.43,8.3,4.77,5.59,6.79,1.5,6.56,5.9,4.24,8.11,7.17,4.93,4.74,7.92,4.71,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,5.2,9.3,3.5,2.8,3.2,7.8,10.1,4.62,3.24,7.43,3.24,4.63,9.57,7.8,2.5,3.38,2.83,6.73,8.65,10.64,5.54,0.15,3.6,6.08,5.9,10.29,6.02,6.1,3.65,4.52,3.81,5,10.95,4.09,2.09,8.5,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,8.3,10.8,4.5,7.8,8,6.4,3.3,0.69,3,5.96,6.05,7.4,5.47,6.19,3.3,4.35,3.6,7.75,6.74,3.14,7.35,2.62,3.61,3.28,3.41,4.29,5.65,7.35,7.3,4.67,10.7,3.25,4.11,5.7,2.73,1.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
