APPIN AIRDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM909449,Long,-5.403387,Lat,56.549404,Elevation,38,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.9,8.5,7.6,10.7,4.7,7.1,7.5,10,4.8,5.8,9.8,5.8,8.5,6.2,3.2,3.6,9.1,7.4,7.2,6.4,7.2,7.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,5.5,4,1.5,6.5,11,5.9,2.1,6.1,3.1,11.6,6.9,6,10.2,6.7,11.5,5.4,5.1,0.6,3.1,2.3,4.9,7.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.2,4,3.8,7.3,7.5,8.4,3,3.3,4.8,3.1,3.6,1.8,6.5,1.9,1.4,5.4,3.8,2.7,7.2,2.6,7.1,3.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1,2.9,2.6,4,9,0.8,3.7,6.1,3.7,2.3,1.3,8,3.6,3.4,4.4,2.7,2.4,1.3,4.1,2.8,1.8,2.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.3,2.3,4.5,0.1,6.2,3,6.2,3.1,1.8,3.8,1.9,2.6,6.8,0.4,5.3,1.2,2.5,2.6,2.6,4.8,1,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,8.6,2.5,7.2,2.6,5.1,3.9,4.4,4.5,4.8,2,2,1.5,4,2.5,2.8,1.9,10.1,3.9,2.9,4.3,6.5,7.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,7.2,5.7,4.8,4.5,5.3,4.6,6.3,0.5,4.2,4,3.4,4.5,1.7,3.3,5.1,5,4,7.2,5.1,2.7,4.3,5.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.2,3,6,7.8,4.5,11.5,3.5,7.6,4,5.3,7,6.9,7.4,1.9,2.2,4,6.7,5.5,7.7,8.6,4.1,4.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.9,3.8,4.9,8.5,4.6,6.4,3.3,7.1,10.1,3,7.7,4.7,1.3,9,5.9,1.8,7.6,5,9.2,3.4,2.6,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.7,5.8,7.3,4.7,10.2,4.6,10.3,6.5,3,3.8,6.1,8,5.9,4.4,6.6,5,6.1,7.6,10.8,4.4,7.6,7.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,3.6,4.8,2.1,5.2,1.6,8.1,3.1,5.8,5.1,4.5,4.9,2,3.2,8,1.9,5.7,6.5,5.4,4.3,5.5,3,12.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,8.2,9.8,9.3,9.8,2,4.5,9.4,10.6,11.2,6,9.6,6,8.2,9.1,3,9,4.3,6.3,2.3,6,5.2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,47.3,57.1,61.6,71.7,71.7,68.8,62.8,71.2,60.6,55.2,64.2,57.8,67.3,56.8,53.3,50.7,68.2,55.5,66.5,53.8,55.3,73.5,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
