STOURPORT (ASTLEY TOWNE HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SO794681,Long,-2.3035799,Lat,52.310621,Elevation,190,ft,,,,,,,,,,,,
Station no,2392/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.43,,2.31,5.84,3.73,2.89,3.39,5.4,2.32,1.91,2.46,1.78,4.37,1.59,0.61
February,,,,,,2.52,,0.53,0.87,2.68,2.36,0.73,1.25,1.11,1.73,1.77,1.37,1.36,0.71,4.18
March,,,,,,2.62,,0.36,1.31,1.19,2.37,2.02,1.14,0.49,0.98,0.54,5.59,1.04,1.74,1.47
April,,,,,,2.07,,0.02,1.94,2.19,1.57,1.26,1.03,1.78,1.06,1.88,2.22,1.73,2.16,2.16
May,,,,,,0.67,,1.37,1.19,3.29,2.17,4.24,3.1,0.64,2.44,3.19,2.12,2.21,2.43,1.59
June,,,,,,3.03,,1.09,1.45,0.83,2.47,0.13,1.69,1.41,2.74,2.69,1.42,2.49,0.37,1.8
July,,,,,,5.21,,3.35,4.26,2.27,3.41,1.4,0.98,2.54,2.77,1.43,1.82,1.31,1.49,2.48
August,,,,,1.66,0.29,,2.18,1.68,0.14,3.32,2.28,1.54,3.04,3.63,6.69,1.15,4.77,1.08,2.64
September,,,,,3.38,2.44,,1.26,0.7,1.09,1.22,1.23,2.14,2.47,1.8,3.8,1.13,2.48,1.16,3.62
October,,,,,2.93,1.11,,2.41,2.91,3.84,2.17,2.24,2.28,3.04,2.23,0.78,0.3,2.49,4.91,1.14
November,,,,,5.04,2.58,,3.3,4.27,6.19,3.09,1.03,1.8,4.32,0.9,4.95,1.68,1.53,2.65,3.97
December,,,,,2.97,2.55,,3.34,1.84,1.39,1.58,3.23,1.34,1.91,3.56,2.29,2.11,3.39,1.48,1.53
Total,,,,,,28.52,,21.52,28.26,28.83,28.62,23.18,23.69,25.07,25.75,32.47,22.69,29.17,21.77,27.19
