"STOURPORT, (ASTLEY TOWN)",,,,,,,,,,,,,,,,,,,,,
Grid ref,SO796684,Long,-2.3006647,Lat,52.313325,Elevation,175,ft,,,,,,,,,,,,,
Station no,2392,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.4,2.6,2.04,3.29,2.72,4.24,1.26,4.96,1.61,2.5,1.76,2.51,1.06,3.63,3.31,2.46,5.91,
February,,,,5.28,0.52,2.93,2.43,2.52,1.92,0.6,0.44,1.89,0.2,3.06,0.34,2.18,2.61,4.6,0.57,0.98,
March,,,,1.7,1.63,0.42,0.5,2.78,2.14,0.11,2.07,0.2,1.93,2.34,2.03,0.57,2.73,2.88,0.4,1.33,
April,,,,2.77,3.1,1.95,1.79,1.48,1.24,0.58,2.53,3.51,3.69,0.75,2.08,3.41,2.22,1.73,0.04,1.92,
May,,,,1.23,6.91,2.61,2.41,1.25,0.86,1.71,2.59,4.24,6.6,1.59,1.31,0.78,1.19,2.43,1.48,1.18,
June,,,,0.32,1.68,0.08,1.08,3.57,2.75,1.81,1.16,3.39,1.03,1.38,0.86,3.08,3.02,0.78,1.2,1.48,
July,,,,3.02,4,2.72,2.53,3.56,1.27,1.28,3.02,2.5,2.71,1.38,0.67,0.47,5.68,2.64,3.44,4.31,
August,,,,1.6,3.04,1.55,2.08,4.3,1.98,1.32,2.84,4.1,2.59,0.59,2.17,1.69,0.39,0.61,2.31,1.78,
September,,,,1.53,3.57,3.76,0.68,3.85,0.76,1.04,2.78,2.08,2.31,0.83,1.92,3.58,2.55,2.29,1.31,0.75,
October,,,,4.25,4.13,3.05,2.33,1.77,4.53,3.67,3.26,0.65,3.62,4.67,1.4,3.04,1.25,2.72,2.5,,
November,,,,1.72,2.23,1.62,5.67,2.94,2.24,6.94,3.12,3.62,1.17,0.81,1.61,5.24,2.8,1.47,3.44,,
December,,,,2.62,3.23,2.5,0.45,2.02,1.92,5.07,3.4,0.99,0.99,0.38,5,3.02,2.85,1.91,3.38,,
Total,,,,27.44,36.64,25.23,25.24,32.76,25.85,25.39,32.17,28.78,29.34,19.54,21.9,28.12,30.92,27.37,22.53,,
