"THREAVE",,,,,,,,,,,,
Grid ref,NX752605,Long,-3.948857,Lat,54.923539,,,,,,,
Station no,5014/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.17,4.33,1.94,4.77,4.33,3.29,5.51,6.10,2.47,4.73,,
February,2.92,0.69,1.40,5.61,1.81,0.81,3.91,3.82,1.58,6.46,,
March,3.68,3.28,0.79,3.70,2.76,2.19,3.91,1.34,3.41,2.04,,
April,2.29,2.58,3.21,1.20,2.68,1.07,2.32,1.17,3.36,5.61,,
May,2.39,3.40,2.68,3.79,4.38,2.30,3.14,3.88,0.82,2.04,,
June,1.14,3.19,1.73,4.39,3.69,2.72,1.33,3.94,3.68,2.65,,
July,2.40,3.04,5.85,3.65,2.69,6.70,4.39,4.12,3.65,4.90,,
August,7.60,5.13,3.45,4.58,1.86,8.50,3.61,3.86,0.61,4.66,,
September,5.62,2.18,6.09,5.97,2.48,5.63,4.56,4.74,1.70,4.99,,
October,0.44,6.15,3.57,9.77,2.88,3.58,4.77,4.72,5.35,6.02,,
November,9.59,2.38,7.18,11.51,3.44,1.54,3.52,2.41,9.49,9.61,,
December,7.46,4.09,3.83,5.45,6.32,6.65,4.67,4.66,10.18,5.24,,
Total,51.70,40.44,41.72,64.39,39.32,44.98,45.64,44.76,46.30,58.95,,
Calc annual,51.70,40.44,41.72,64.39,39.32,44.98,45.64,44.76,46.30,58.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
