CHELSEA-LOTS-ROAD-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ265771,Long,-0.17979251,Lat,51.478722,Elevation,48,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.76,1.52,1.28,2.68,1.74,0.47,3.52,1.12,1.22,2.09,2.17,2.19,1.51,1.39,1.12,2.63,1.42,1.77,1.56,2.37,,
February,,,,,,,,,,0.44,2.24,1.36,1.34,0.69,1.69,2.65,2.22,0.54,0.87,1.82,0.54,0.21,1.52,2.09,0.51,2.18,2.68,2.44,1.32,,
March,,,,,,,,,,2.09,0.93,1.67,2.18,2.34,3.85,0.59,3.48,1.54,0.64,2.57,1.05,1.15,1.35,1.84,0.61,0.74,0.23,1.83,1.03,,
April,,,,,,,,,,1.59,1.35,1.53,0.12,2.06,0.8,1.22,1.15,1.84,2.97,2.93,2.25,1.07,2.01,1.23,2.83,1.18,2.52,1.73,1.26,,
May,,,,,,,,,,1.34,2.03,1.07,0.5,1.42,1.47,2.49,1.37,1.74,1.56,0.26,1.24,0.88,0.86,2.2,2.66,1.43,1.75,1.21,2.21,,
June,,,,,,,,,,3.46,2.18,2.11,3.2,0.36,1.42,0.77,1.66,2.5,0.98,1.44,1.69,0.17,1.25,0.37,2.12,0.12,3.23,2.58,1.88,,
July,,,,,,,,,,2.91,2.91,0.5,1.03,1.61,1.4,3.23,0.86,4.06,6.78,2.71,3.25,0.13,3,2.7,2.94,3.32,1.35,3.01,2.21,,
August,,,,,,,,,,1.27,1.93,0.97,4.7,1.55,1.46,2.48,4.3,3.22,1.04,1.49,1.96,1.12,1.67,1.06,2.45,2.01,1.37,2.96,2.21,,
September,,,,,,,,,,2.1,0.6,1.31,1.84,1.56,0.66,1.75,1.15,1.77,4.49,1.06,3.29,1.97,1.55,1.01,2.5,1.39,1.1,3.52,0.79,,
October,,,,,,,,,,3.54,1.96,2.58,1.91,2.76,0.76,1.34,2.33,1.81,1.17,0.54,0.55,0.74,0.7,4.92,3.73,1.66,1.98,1.24,2.38,,
November,,,,,,,,,,0.77,2.29,3.08,1.42,2.03,2.79,2.02,2.93,1.33,1.87,1.16,0.89,1.52,0.88,1.36,2.14,1.17,3.95,2.23,1.36,,
December,,,,,,,,,,2.81,2.27,3.18,2.67,0.9,4.95,4.34,1.7,1.15,1.76,2.89,1.42,1.17,2.03,1.83,2.19,2.37,0.32,3.22,1.9,,
Total,,,,,,,,,,23.08,22.21,20.64,23.59,19.02,21.72,26.4,24.27,22.72,26.22,21.04,20.32,11.64,18.21,21.73,27.31,18.99,22.25,27.53,20.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is building to east of Pumping Station as described on 1920s record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The gauge is on a roof, hence not possible to check altitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920s record has a Long/Lat that puts the gauge in the river!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
