HAILSHAM-NORTH-STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ589095,Long,0.25656194,Lat,50.863178,Elevation,105,ft,,,,,,,,,,,,,
Station no,540,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.25,1.54,3.02,3.9,3.83,2.15,4.7,1.38,3.56,2.71,2.98,2.17,3.13,1.05,4.53,6.05,4.22,6.54,
February,,,2.63,4.58,0.78,4.41,3.15,3.37,1.49,0.86,1.91,2.32,0.21,2.32,0.09,4.72,2.11,5.79,0.88,1.71,
March,,,2.2,2.26,1.82,0.89,0.42,4.27,2.26,0.05,1.91,0.5,1.66,2.29,3.45,0.76,1.49,3.9,0.65,1.84,
April,,,3.12,2.6,2.93,3.08,3.36,2.04,2.22,0.88,2.03,3.43,2.38,1.17,2.67,3.63,2.17,2.97,0.52,2.77,
May,,,0.79,3.56,3.75,2.94,2.66,0.89,2.26,1.97,2.94,2.08,3.25,1.51,0.51,1.11,0.6,3.06,3.02,1.35,
June,,,1.51,0.63,2.21,0.1,3.38,3.36,2.86,2.19,1.29,1.43,1.37,1.62,1.18,2.36,3.31,1.53,0.73,1.12,
July,,,2.65,3.19,2.9,4.49,2.02,3.43,1.67,1.51,2.33,3.07,3.51,1.59,1.3,0.35,3.7,1.11,2.57,2.47,
August,,,3.48,2.6,4.45,2.01,2.53,5.65,1.87,2.29,3.35,3.69,0.91,1.1,3.52,4.74,1.45,1.68,1.55,1.72,
September,,,3.92,3.02,3.47,2.87,0.75,4.84,0.48,1.17,3.12,1.68,2.63,3.83,1.29,6.08,1.81,2.15,3.81,0.61,
October,,,1.11,6.93,5.37,4.25,3.31,1.93,7.89,4.13,2.84,0.57,7.59,1.85,1.95,4.54,1.19,3.53,4.29,7.16,
November,,,2.14,3.02,3.85,3.55,8.22,3.63,4.5,7.2,7.11,4.85,1.62,1.24,3.71,7.84,4.61,1.97,4.08,6.97,
December,,,3.51,3.72,5.85,4.99,0.68,5.73,3.56,7.45,3.46,1,0.56,1.08,9.4,4.56,2.66,4.16,3.6,1.68,
Total,,,31.31,37.65,40.4,37.48,34.31,41.29,35.76,31.08,35.85,27.33,28.67,21.77,32.2,41.74,29.63,37.9,29.92,35.94,
