"WATLINGTON (CUXHAM)",,,,,,,,,,,,
Grid ref,SU665952,Long,-1.040184,Lat,51.651668,,,,,,,
Station no,1083/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,1.50,1.07,1.11,2.35,3.54,2.03,2.95,3.44,2.48,,
February,4.52,0.74,1.85,2.17,1.75,0.40,3.00,2.57,0.09,2.03,,
March,3.84,2.14,0.57,2.47,1.23,0.82,1.29,1.34,3.06,1.35,,
April,2.52,1.39,2.53,0.39,0.69,1.50,0.16,0.96,2.52,0.90,,
May,3.22,2.45,1.89,2.75,3.75,0.40,1.94,1.67,0.44,1.67,,
June,1.65,1.31,1.84,4.00,2.59,2.38,3.19,4.11,2.37,1.85,,
July,1.12,0.55,2.91,2.87,0.25,2.04,3.68,2.71,2.46,4.12,,
August,4.02,3.28,2.21,4.01,0.45,4.08,2.88,3.55,1.45,2.59,,
September,3.14,2.04,1.98,1.52,1.33,1.80,2.95,3.54,0.18,4.56,,
October,0.92,3.02,1.98,2.00,2.07,1.77,2.26,3.12,2.08,5.50,,
November,6.50,2.91,2.20,4.57,1.69,0.83,1.88,2.86,2.34,3.34,,
December,2.07,2.58,0.58,2.22,2.90,3.44,2.95,2.73,4.27,4.12,,
Total,36.02,23.91,21.61,30.08,21.05,23.00,28.21,32.11,24.70,34.51,,
Calc annual,36.02,23.91,21.61,30.08,21.05,23.00,28.21,32.11,24.70,34.51,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
