MOODY'S DOWN BARTON STACEY,,,,,,,,,,,,
Grid ref,SU430389,Long,-1.386639,Lat,51.147753,,,,,,,
Station no,RR6833,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.30,0.75,,
February,,,,,,,,,0.87,0.36,,
March,,,,,,,,,3.93,3.99,,
April,,,,,,,,,3.54,1.59,,
May,,,,,,,,1.81,2.27,1.87,,
June,,,,,,,,1.10,0.62,4.08,,
July,,,,,,,,1.29,2.38,2.73,,
August,,,,,,,,2.46,3.21,2.25,,
September,,,,,,,,0.36,1.59,2.84,,
October,,,,,,,,7.74,0.88,6.39,,
November,,,,,,,,2.70,0.98,0.72,,
December,,,,,,,,4.42,3.09,3.68,,
Total,,,,,,,,,24.66,31.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.88,24.66,31.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
