BARTON-STACEY-MOODYS-DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU429389,Long,-1.38806,Lat,51.14777,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.3,0.75,2.76,1.07,3.85,4.43,0.62,4.23,0.9,1.08,3.26,4.04,3.67,,,,,,,,,,
February,,,,,,,,,0.87,0.36,4.19,1.61,2.74,0.97,5.08,5.94,5.76,0.97,1.46,2.45,0.84,,,,,,,,,,
March,,,,,,,,,3.93,3.99,0.9,2.21,5.1,3,4.77,0.9,2.98,2.25,0.88,5.16,2.52,,,,,,,,,,
April,,,,,,,,,3.54,1.59,2.81,2.11,0.02,3.15,1.41,0.86,0.71,1.9,2.72,2.07,3.6,,,,,,,,,,
May,,,,,,,,1.81,2.27,1.87,1.64,3.12,1.14,2.15,1.83,4.57,1.27,2.49,1.76,0.74,1.11,,,,,,,,,,
June,,,,,,,,1.1,0.62,4.08,3.01,1.94,4.23,0.5,0.76,0.67,1.52,2.9,1.25,0.87,2.11,,,,,,,,,,
July,,,,,,,,1.29,2.38,2.73,2.11,0.03,1.95,1.85,2.7,4.93,1.82,4.13,6,1.68,5.07,,,,,,,,,,
August,,,,,,,,2.46,3.21,2.25,1.83,1.01,5.89,1.12,2.69,1.59,3.58,5.09,1.66,2.76,1.76,,,,,,,,,,
September,,,,,,,,0.36,1.59,2.84,0.17,1.25,2.15,3.4,1.15,2.94,1.98,2.25,5.09,2.82,,,,,,,,,,,
October,,,,,,,,7.74,0.88,6.39,4.26,2.77,3.54,5.14,2.34,3.29,5.17,4.34,1.48,0.95,,,,,,,,,,,
November,,,,,,,,2.7,0.98,0.72,3.48,3.64,1.99,2.74,4.04,2.34,5.39,0.64,2.9,2,,,,,,,,,,,
December,,,,,,,,4.42,3.09,3.68,5.9,8.77,4.45,1.79,7.87,7.08,4.04,1.49,2.5,5.85,,,,,,,,,,,
Total,,,,,,,,,24.66,31.25,33.06,29.53,37.05,30.24,35.26,39.34,35.12,29.53,30.96,31.39,,,,,,,,,,,
