WATCHET-CHAPEL-CLEEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST035431,Long,-3.381926,Lat,51.178962,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2095/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.44,3.99,3.27,6.88,1.9,2.96,2.76,3.2,6.65,0.98,0.81,3.6,3.43,0.53,,,,,,,
February,,,,,,,,,,,3.43,0.21,2.31,0.52,2.11,2.56,1.34,1.36,1.48,5.84,4.1,1.01,1.34,,,,,,,
March,,,,,,,,,,2.02,3.65,1.82,1.37,0.15,0.9,0.81,5.7,1.5,1.07,1.08,2.91,1.74,0.77,,,,,,,
April,,,,,,,,,,,1.79,1.55,0.68,1.29,0.68,3.33,3.07,2.18,1.83,2.08,3.53,3.13,2.85,,,,,,,
May,,,,,,,,,,1.59,1.58,4.29,3.05,0.68,3.53,4.53,2.62,3.72,2.42,2.46,2.96,3,2.12,,,,,,,
June,,,,,,,,,,1.04,1.81,0.5,1.31,2.36,1.84,1.68,1.52,1.87,0.31,0.48,1.04,1.9,2,,,,,,,
July,,,,,,,,,,3.53,1.6,1.39,1.62,1.06,2.73,2.01,1.25,2.25,1.78,3.4,1.26,1.35,2.09,,,,,,,
August,,,,,,,,,,0.16,3.23,3.61,2.29,3.57,1.18,5.86,0.88,3.52,1.68,4.42,2.73,4.96,2.64,,,,,,,
September,,,,,,,,,,1.07,0.53,1.67,4.39,2.25,2.36,3.64,1.23,1.25,3.34,4.88,2.37,3.91,4,,,,,,,
October,,,,,,,,,,,2.07,2.96,2.85,3.96,4.03,1.37,0.65,3.17,6.08,1.74,1.16,4.54,2.21,,,,,,,
November,,,,,,,,,,7.47,2.7,1.35,2.8,5.98,1,5.98,2.62,1.64,4.91,5.72,6.71,4.18,1.98,,,,,,,
December,,,,,,,,,,2.91,2.48,3.72,2.54,3.91,5.59,4.5,2.25,4.96,1.61,2.67,3.1,2.62,0.74,,,,,,,
Total,,,,,,,,,,,28.86,26.34,32.09,27.63,28.91,39.03,26.33,34.07,27.49,35.58,35.47,35.77,23.27,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Feb Apr Oct Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Oct Dial gauge replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Dec Terminated Observer gone away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
