ST-LEONARDS-GILBERT-ROAD-THORNDENE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ799099,Long,0.55486508,Lat,50.860624,Elevation,190,ft,,,,,,,,,,,,,
Station no,539,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.73,4.89,1.39,4.4,,,2.44,,,,,,,
February,,,,,,,2.7,3.45,1.58,1.44,1.36,,0.33,1.99,,,,,,,
March,,,,,,,0.3,3.49,1.91,0.05,2.64,,1.49,1.92,,,,,,,
April,,,,,,,3.08,1.79,2.74,1.14,1.47,,2.64,1.35,,,,,,,
May,,,,,,,2.3,0.72,2.65,2.5,2.44,,2.62,2.38,,,,,,,
June,,,,,,,2.78,3.84,3.34,1.88,1.02,,1.53,1.27,,,,,,,
July,,,,,,,1.78,3.73,1.49,1.18,2.86,,3.74,1.47,,,,,,,
August,,,,,,,1.3,5.04,1.42,2.42,3.38,,1,1.23,,,,,,,
September,,,,,,,0.54,4.64,0.28,0.89,3.43,,2.43,4.85,,,,,,,
October,,,,,,,3.9,1.7,8.52,4.48,2.48,,8.87,2.44,,,,,,,
November,,,,,,,7.08,3.75,4.4,5.73,6.23,,1.64,2.28,,,,,,,
December,,,,,,,1.14,5,3,7.25,3.57,,0.72,0.9,,,,,,,
Total,,,,,,,,39.88,36.22,30.35,35.28,,,24.52,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Jan estimated,,,,,,,,,,,,,,,,,,,,,
