WOLLASTON-HALL,,,,,,,,,,
Grid ref,SP909631,Long,-0.669646,Lat,52.258568,Elevation,276,ft,,
Station no,1113/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,0.86,2.33,3.05,2.44
February,,,,,,,1.97,2.65,0.03,1.92
March,,,,,,,1.54,1.44,2.81,1.57
April,,,,,,,0.3,0.62,1.73,0.26
May,,,,,,,1.83,1.82,0.31,1.12
June,,,,,,2.53,2.15,4.57,0.41,2.76
July,,,,,,4.06,3.17,2.87,2.02,2.62
August,,,,,,3.94,1.57,2.25,0.48,2.94
September,,,,,,1.57,3.68,1.99,0,3.98
October,,,,,,1.06,1.67,1.78,1.23,4.39
November,,,,,,0.54,1.54,1.63,1.65,3.1
December,,,,,,2.29,2.11,2.36,3.72,2.02
Total,,,,,,,22.39,26.31,17.44,29.12
