SIDLESHAM-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ846978,Long,-0.801563,Lat,50.773623,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,417/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.77,2.99,3.85,3.57,5.52,2.44,1.31,2.07,2.95,4.93,0.94,1.1,3.91,2.32,1.09,1.78,,,,,,
February,,,,,,,,,1.46,3.31,2.19,0.54,1.4,0.46,1.87,2.82,2.04,1.26,0.89,4.84,6.19,0.64,1.22,2.68,,,,,,
March,,,,,,,,,1.1,3.2,3.36,3.17,0.69,0.25,1.36,1.42,6.63,0.51,1.4,1.33,4.35,3.21,0.24,3.01,,,,,,
April,,,,,,,,,1.82,0.81,1.02,1.25,0.96,1.63,1.08,2.1,2.04,1.18,1.19,2.08,1.62,1.24,1.62,0.23,,,,,,
May,,,,,,,,,1.8,1.26,1.91,2.67,2.7,0.4,2,3.7,0.85,2.1,1.42,1.24,2.1,2.57,1.64,2.39,,,,,,
June,,,,,,,,,0.89,0.22,1.17,0.45,1.46,1.5,1.87,2.96,1.92,1.68,0.66,0.91,2.04,0.91,1.27,2.77,,,,,,
July,,,,,,,,,2.77,2.55,2.05,1.71,2.36,2.25,6.41,1.17,1.62,0.98,0.27,2.93,2.37,0.26,2.53,2.66,,,,,,
August,,,,,,,,,1.49,0.03,3.24,3.39,1.16,2.55,2.18,4.1,0.8,3.15,1.27,2.23,4.77,1.56,1.48,2.06,,,,,,
September,,,,,,,,,1.2,2.06,0.33,2.53,1.22,1.74,1.95,2.99,1.37,1.46,2,2.41,3.41,4.8,2.39,2.12,,,,,,
October,,,,,,,,,5.2,3.51,1.15,3.65,3.41,4.25,2.74,1.04,0.9,1.89,7.07,0.59,1.52,3.62,2.86,2.1,,,,,,
November,,,,,,,,,6.38,7.09,2.84,1.99,1.61,5.22,0.19,4.47,1.46,1.94,3.06,5.43,4.91,4.04,1.37,5.29,,,,,,
December,,,,,,,,,1.33,2.22,1.4,3.32,2.66,2.03,4.25,3.11,2.57,2.78,2.23,2.37,2.88,2.72,0.93,1.83,,,,,,
Total,,,,,,,,,31.21,29.25,24.51,28.24,25.15,24.72,27.21,31.95,25.15,23.86,22.4,27.46,40.07,27.89,18.64,28.92,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
