"WOOLSINGHAM SHULL",,,,,,,,,,,,
Grid ref,NZ091333,Long,-1.860336,Lat,54.694656,,,,,,,
Station no,3533,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,2.95,0.48,3.11,3.08,3.86,3.41,2.79,,,,
February,3.56,0.40,1.85,2.11,2.52,2.45,2.90,4.53,,,,
March,4.23,1.83,0.24,1.95,2.36,1.14,1.64,3.04,,,,
April,1.83,1.78,2.73,0.71,0.50,0.92,0.32,1.52,,,,
May,3.30,1.29,2.95,3.77,2.00,0.71,2.00,3.82,,,,
June,1.39,1.88,3.10,2.18,2.29,4.17,1.79,3.63,,,,
July,1.33,0.62,2.02,1.44,0.92,2.63,3.32,2.67,,,,
August,4.38,2.94,3.76,5.31,1.67,7.40,3.94,4.35,,,,
September,1.88,3.90,2.10,3.31,1.00,3.10,4.64,3.04,,,,
October,0.67,4.01,1.84,5.57,1.88,2.03,2.33,2.32,,,,
November,8.24,2.68,1.86,5.26,2.35,0.78,1.78,0.47,,,,
December,3.81,2.59,1.15,3.02,4.25,3.33,2.68,4.80,,,,
Total,37.16,26.87,24.08,37.74,24.82,32.52,30.75,36.98,,,,
Calc annual,37.16,26.87,24.08,37.74,24.82,32.52,30.75,36.98,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
