HELLINGLY-BURLOW (Check Gauge),,,,,,,,,,,
Grid ref,TQ575162,Long,0.239571,Lat,50.923763,Elevation,209,ft,,,
Station no,548,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.44,,,,,
February,,,,,,3.84,,,,,
March,,,,,,1.09,,,,,
April,,,,,,3.24,,,,,
May,,,,,,3,,,,,
June,,,,,,0.11,,,,,
July,,,,,,5.37,,,,,
August,,,,,,2.6,,,,,
September,,,,,,3.01,,,,,
October,,,,,,4.12,,,,,
November,,,,,,3.7,,,,,
December,,,,,,4.67,,,,,
Total,,,,,,38.19,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Check Gauge,,,,,,,,,,,
