FULBOURN-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL499563,Long,0.19120171,Lat,52.184582,Elevation,72,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.81,3.17,1.65,1.8,0.28,1.03,,1.58,1.4,1.47,2.78,1.91,0.46,0.84,2.24,2.86,0.86,,,2.43,1.26,1.47,,,,,,,,,,,,,,,,,,,,,,4.07,2.95,1.97,2.38,1.23,2.51,1.18,2.05,1.93,3.36,1.24,1.56,1.84,0.79,1.33,1.02,2.63,2.34,3.12,2.64,4.28,1.49,1.7,1.89,3.75,0.86,1.8,1.03,1.2,3.06,1.01,0.91,2.14,1.4,0.96,1.03,1.87,2.63,1.2,1.93,2.73,1.56
February,,,,,,,2,2.77,0.89,2.92,1.67,2.5,,2.36,0.96,1.41,0.31,0.75,0.84,1.56,0.82,0,2.72,,,0.8,0.35,2.98,,,,,,,,,,,,,,,,,,,,,,3.93,0.57,0.31,1.55,2.28,1.02,2.24,2.24,2.74,1.15,0.49,0.45,2,0.14,1.32,0.36,1.7,2.51,2.7,0.38,0.6,1.86,2.09,0.83,0.73,0.85,1.16,1.56,1.04,0.71,0.74,2.73,2.41,0.64,1.22,1.55,1.55,0.78,1.69,2.26,0.11,1.27
March,,,,,,,2.26,2.4,1.01,0.81,0.64,1.07,,0.73,0.64,0.97,1.85,1.32,2.82,1.21,3.52,1.86,1.43,,,2.22,4.04,3.88,,,,,,,,,,,,,,,,,,,,,,2.81,1.94,0.72,1.38,1.67,0.44,1.03,0.24,1.57,1.42,0.07,1.56,0.4,1.35,1.6,1.2,0.36,0.68,2.85,0.48,1.97,3.25,3.32,1.18,0.5,0.33,0.82,1.19,3.85,0.62,0.6,0.51,3,2.6,0.45,1.88,1.26,0.49,1.33,0.73,2.3,1.69
April,,,,,,,2.19,2.57,2.6,1.99,2.2,1.25,,2.02,1.25,2.24,1,1.41,1.54,2.43,0.95,1.1,2.34,,,1,1.19,2.01,,,,,,,,,,,,,,,,,,,,,,2.65,3.63,1.45,2.37,1.18,2.56,1.97,2.74,1.68,0.83,1.3,2.07,2.88,2.31,1.35,1.7,2.77,1.56,2.96,0.29,2.83,1.21,0.56,0.86,0.96,1.35,0.98,1.19,1.39,1.38,1.34,1.63,3.07,1.31,2.28,0.36,0.48,1.09,0.08,1.01,1.95,0.48
May,,,,,,,0.49,2.14,3.5,3.26,0.53,1.19,,1.14,0.83,3,3.61,2.85,0.63,4.6,1.89,3.95,1.78,,,0.64,0.35,1.66,,,,,,,,,,,,,,,,,,,,,,0.36,2.17,0.51,1.69,1.25,3.57,1.86,1.83,0.62,1.96,1.33,2.88,3.11,4.6,2.12,0.67,0.72,1.19,2.48,1.91,0.95,1.64,1.87,2.06,1.73,0.88,1.71,1.86,0.46,3.03,1.76,2.75,2.27,1.48,1.75,3.05,2.23,0.73,0.75,2.6,1.03,0.75
June,,,,,,,1.99,0.61,2.41,4.98,2.49,2.71,,4.56,1.38,2.23,0.37,0.82,1.16,2.43,1.68,2.52,4.41,,,1.28,3.18,3.73,,,,,,,,,,,,,,,,,,,,,,1.44,1.4,0.62,1.05,0.6,1.82,0.48,2.06,2.71,2.25,1.12,0.3,1.92,0.07,4.12,1,2.5,3.5,1.5,0.69,1.68,0.45,0.82,0.55,2.12,1.06,1.42,3.03,2.79,2.42,1.14,1.22,1.65,1.59,2.21,1.95,1.97,1.84,1.39,5.46,1.78,1.46
July,,,,,,,0.74,4.21,0.79,4.76,4.51,2.53,,4.3,2.71,0.73,2.42,0.59,4.05,4.24,4.87,4.29,,,,4.67,1.2,1.64,,,,,,,,,,,,,,,,,,,,,,3.99,3.59,0.24,4.15,2.13,3.48,2.66,2.97,1.96,2,1.86,3.11,3.77,3.1,1.32,1.18,0.45,5.37,2.21,1.19,1.82,3.39,2.68,3.58,0.84,1.88,1.66,3.26,2.31,1.17,1.76,5.5,1.7,0.56,2.26,3.01,0.15,2.84,2.74,2.49,3.65,4.76
August,,,,,,,1.6,3.27,3.34,6.45,1.22,6.31,,0.45,1.85,1.58,2.56,1.08,3.14,2.63,1.33,4.82,,,,5.61,3.17,2.98,,,,,,,,,,,,,,,,,,,,,,2.44,1.02,1.25,2.28,3.31,2.16,2.05,1.13,2.52,2.31,0.51,1.81,2.79,2.44,1.23,2.03,1.9,0.78,0.96,2.67,3.5,0.12,4.01,1.17,1.3,2.28,2.28,3.69,0.43,5.49,1.15,3.56,3.34,3.07,2.92,4.04,1.04,3.9,2.03,2.72,0.85,2.7
September,,,,,,,4.12,0.44,0.98,2.12,2.6,2.95,,3.64,2.1,2.79,1.03,2.02,1.38,3.12,0.24,1.44,,,,0.87,5.86,3.24,,,,,,,,,,,,,,,,,,,,,,1.05,2.33,1.17,2.18,2.08,2.16,2.9,2.04,3.73,0.55,0.16,4.24,2.56,1.86,2.13,2.3,5.14,3.14,2.53,4.12,2.13,0.57,0.54,1.55,1.16,2.56,3.26,2.43,1.08,1.51,0.43,2.69,2.54,2.41,1.1,1.76,2.09,1.38,3.4,2.23,0.04,5
October,,,,,,,1.44,1.11,1.92,1.11,3.74,3.12,,2.23,1.94,4.16,1.76,1.78,0.95,3.9,2.18,5.43,,,,2.87,4.12,0.96,,,,,,,,,,,,,,,,,,,,,,0.73,0.51,1,0.65,4.13,3.27,2.55,2.38,1.87,2.76,3.01,0.94,0.58,3.69,1.92,1.76,1.92,1.94,2.65,3.04,4.41,1.7,2.23,3.87,1.64,2.95,2.14,0.88,0.24,1.67,3.85,0.34,1.12,1.8,2.63,1.66,3.05,1.01,1.67,1.93,1.54,4.62
