MOUNT SION RADCLIFFE,,,,,,,,,,
Grid ref,SD769067,Long,-2.3501701,Lat,53.55641,Elevation,250,ft,,
Station no,RR6427,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,3.2,6.5,2.6,3.5,4.1,4.1,,3
February,,,1.8,0.3,2.1,3.5,5.5,3.1,,4.8
March,,,3.9,1.2,2.1,1.3,2.4,1.5,,1.1
April,,,2,1.4,0.7,1.2,2.4,4.6,,3.4
May,,,4.2,2.6,3.8,3.4,2.7,1.9,,2.3
June,,,4,4.7,3.3,0.4,4.9,1.5,,1.5
July,,,4.5,1.3,1.8,3.7,3.1,5.1,,0.8
August,,,2.4,5,2.1,5.8,4.5,1.7,,3.2
September,,,1.9,5.7,4.8,0.2,8.6,4,,7.4
October,,,5.6,6,2,6,2.7,4.5,,5.5
November,,,1.6,3.5,3.9,3.3,6.3,2,,3.5
December,,,4,2,2.5,1.2,4,3.5,,4
Total,,,39.1,40.2,31.7,33.5,51.2,37.5,,40.5
