WINCHCOMBE-SUDELEY-CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP031275,Long,-1.9563078,Lat,51.945989,Elevation,357,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.62,1.9,3.6,1.5,3.47,3.21,3.89,1.23,4.83,1.51,2.42,2.29,2.34,0.79,3.34,3.94,2.99,5.59,2.75,2.82,2.72,4.67,1.96,1.7,,,,,
February,,,3.16,6.4,0.57,4.97,2.17,3.29,2.01,0.54,0.38,2.48,0.26,4.04,0.61,2.8,2.53,4.57,0.73,1.48,1.18,2.37,0.83,1.29,0.99,1.53,,,,,
March,,,2.6,2.12,0.74,0.61,0.42,3.33,2.7,0.03,1.86,0.43,1.78,2.53,2.54,0.5,1.82,4.17,0.45,2.09,2,3.18,2.77,1.02,0.31,0.81,,,,,
April,,,3.77,3.21,3.05,2.22,3.38,1.76,0.87,1.24,2.88,3.71,3.19,1.08,2.55,4.98,2.43,3.36,0.18,3.43,2.08,1.32,1.37,0.86,1.24,0.85,,,,,
May,,,1.13,2.03,6.84,2.96,4.64,1.44,0.85,1.5,1.48,4.17,6.83,2.74,1.03,1.28,0.75,2.17,1.68,0.97,1.93,1.9,2.68,2.41,0.81,2.21,,,,,
June,,,0.97,0.28,2.68,0.24,2.02,2.56,2.55,1.23,2.23,3.35,1.17,2.63,1.27,3.6,4.47,1.8,0.92,2.32,0.48,2.57,0.04,3.19,2.53,2.39,,,,,
July,,,3.5,1.6,4.49,3.12,2.33,3.9,1.79,1.91,3.74,3.56,2.57,1.18,2.5,0.72,5.2,3.23,3.09,5.89,3.9,2.32,2.02,0.71,2.68,1.91,,,,,
August,,,4.82,2.23,3.8,1.62,1.87,4.04,2.66,1.99,2.31,4.66,3.81,0.86,2.16,1.34,0.26,0.88,4.19,2.51,0.19,4.02,3.7,2.26,3.66,1.49,,,,,
September,,,2.26,2.71,4.3,3.47,1.06,5.11,0.71,0.35,3.19,2.53,3.16,2.82,2.29,4.04,4.47,1.92,2.22,0.87,1.15,,2.17,2.67,3.05,1.76,,,,,
October,,,0.72,5.29,4.45,2.98,3.28,1.62,5.45,3.62,2.47,0.96,4.64,3.26,1.25,3.16,1.54,3.71,2.91,3.7,3.53,2.13,3,2.2,3.76,3.17,,,,,
November,,,1.31,1.36,2.45,1.85,6.73,2.67,2.5,7.67,3.83,4.05,2.01,1.05,2.25,5.4,2.65,1.09,2.77,4.06,6.54,2.59,1.88,1.68,3.83,0.31,,,,,
December,,,4.43,3.13,2.72,2.99,0.55,3.48,2.98,6.54,3.48,0.98,1.21,0.53,5.58,4.09,3.14,2.25,3.25,1.98,1.46,2.06,3.59,1.15,2.15,5.03,,,,,
Total,,,31.29,32.26,39.69,28.53,31.92,36.41,28.96,27.85,32.68,32.39,33.05,25.01,26.37,32.7,32.6,33.09,25.38,34.89,27.19,,26.77,24.11,26.97,23.16,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
