LEAMINGTON SPA (WOODLAND GRANGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP313683,Long,-1.5423042,Lat,52.311924,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2455/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.11,2.69,5.48,2.82,3.36,3.35,4.12,1.9,1.52,1.97,1.91,4.13,1.08,0.38,2.66,1.85,0.97,0.85,2.26,3.88,1.25,3.21,4.11,
February,,,,,,,3.42,0.86,1.04,2.26,2.5,0.68,1.19,1.06,1.52,2.09,1.38,1.16,0.75,4.2,3.02,0.47,1.16,2.37,1.46,0.48,2.57,3.58,0.03,
March,,,,,,,2.88,0.31,1.4,2.02,2.22,1.76,0.89,0.12,0.78,0.9,6.48,0.99,1.49,1.31,3.76,2.26,0.99,2.34,2.38,0.76,2.32,1.33,1.96,
April,,,,,,,2.78,0.09,1.55,2.4,1.03,1.21,0.78,1.9,0.75,2.05,1.84,1.69,2.12,2.13,2.35,2.07,2.09,0.54,0.97,0.83,0.16,0.73,2.82,
May,,,,,,,2.64,1.6,0.95,1.61,1.89,3.04,3,1,2.25,2.16,1.64,3.08,2.71,2.42,3.48,2.88,1.21,3.17,4.4,0.74,0.99,2.11,0.46,
June,,,,,,,0.83,2.01,1.93,0.44,1.49,0.35,1.82,2.17,2.86,2.6,1.22,2.3,0.35,1.57,2.17,1.46,1.7,2.7,2.69,1.99,2.22,4.11,0.42,
July,,,,,,,2.21,2.32,4.56,2.89,4.43,1.37,0.8,2.43,1.48,2.08,3.53,1.67,2.23,2.61,1.29,0.34,3.09,2.6,0.34,1.78,3.55,3.74,0.92,
August,,,,,,,2.98,3.7,4.34,0.11,3.89,2.07,1.32,2.3,2.68,4.79,0.23,3.62,1.3,2.65,5.2,4.65,2.92,3.82,0.33,4.52,2.48,3.34,1,
September,,,,,,,2.01,2.23,0.95,1.26,0.41,0.88,2.05,3.69,1.5,2.93,1.76,3.11,2.24,3.18,1.85,1.15,1.92,2.54,1.48,1.89,4.01,3.72,0.04,
October,,,,,,,2.3,2.66,3.53,3.52,2.33,2.57,1.86,2.68,3.79,0.79,0.27,2.27,6.15,0.86,0.87,3.63,2.67,3.37,1.44,1.92,1.2,2.42,,
November,,,,,,,1.61,2.61,4.24,6.67,2.55,1.91,1.58,4.35,0.13,5.54,1.85,1.41,2.21,3.53,5.15,2.28,0.98,5.18,1.83,0.54,1.45,2.09,,
December,,,,,,,2.27,3.17,1.52,1.45,1.29,2.88,0.74,1.21,3.05,2.4,2,2.38,1.45,1.43,1.9,2.64,0.87,1.71,1.95,2.92,2.23,2.33,,
Total,,,,,,,29.04,24.25,31.49,27.45,27.39,22.07,20.15,24.81,22.31,30.3,24.11,27.81,24.08,26.27,33.7,25.68,20.57,31.19,21.53,22.25,24.43,32.71,,
