BELPER HIGHFIELD,,,,,,,,,,,,
Grid ref,SK350477,Long,-1.479627,Lat,53.025452,,,,,,,
Station no,RR6140,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.42,1.90,1.31,2.57,2.97,1.21,4.24,1.38,1.43,1.31,,
February,4.42,1.12,2.06,1.28,3.80,0.90,3.93,2.66,2.15,0.77,,
March,0.78,2.98,1.92,4.09,2.13,3.25,1.99,1.74,2.74,3.78,,
April,1.19,1.55,2.49,2.07,1.67,1.91,0.78,1.42,2.42,1.54,,
May,1.40,1.37,2.59,3.09,1.35,0.57,1.79,3.73,3.23,2.06,,
June,4.73,2.05,1.56,1.10,0.46,2.97,1.99,3.74,1.49,2.92,,
July,3.77,3.69,1.76,2.33,1.88,1.10,0.80,2.91,3.10,4.20,,
August,5.18,1.94,3.80,5.49,3.94,3.94,1.29,2.57,4.55,2.43,,
September,0.80,1.22,1.46,3.70,1.94,1.96,0.81,0.80,1.95,2.39,,
October,2.69,1.95,3.18,6.75,0.64,1.69,6.12,4.15,1.17,4.46,,
November,2.97,3.26,2.47,2.45,1.55,3.43,3.18,2.90,1.56,0.54,,
December,4.86,6.84,2.07,1.46,1.79,0.67,2.91,3.27,2.27,6.23,,
Total,38.21,29.87,26.67,36.38,24.12,23.60,29.83,31.27,28.06,32.63,,
Calc annual,38.21,29.87,26.67,36.38,24.12,23.60,29.83,31.27,28.06,32.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
