MINSTEAD-FURZEY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU273114,Long,-1.61308,Lat,50.9016,Elevation,280,ft,,,,,,,,,,,,,
Station no,646/7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,5.81,2.82,3.44,2.96,3.56,0.76,6.62,7.35,3.95,6.56,2.61
February,,,,,,,,,,,1.47,3.14,0.14,4.76,0.1,4.81,3.45,7.04,0.75,1.8,3.79
March,,,,,,,,,,,1.28,0.98,1.52,4.01,3.69,1.21,3.32,3.86,0.31,1.24,3.38
April,,,,,,,,,,,3.49,3.12,3.54,1.54,2.51,4.74,2.13,2.63,0.03,2.06,1.13
May,,,,,,,,,,,1.88,3.06,5.49,2.34,0.84,1.15,1.17,4.04,2.14,1.22,0.56
June,,,,,,,,,,,1.19,2.69,1,1.67,1.35,4.74,3.41,1.11,0.64,2.53,0.23
July,,,,,,,,,,,3.37,4.45,4.34,1.94,1.64,1.1,4.69,1.28,2.89,5.8,3.1
August,,,,,,,,,,,5.33,5.1,1.22,1.46,3.9,3.44,0.33,1.05,3.06,2.79,0
September,,,,,,,,,,,3.9,1.58,4.44,2.85,2.9,4.13,3.94,2.66,1.61,1.66,1.73
October,,,,,,,,,,,2.5,0.77,7.18,2.15,2.03,6.79,1.83,5.22,4.05,6.48,5.36
November,,,,,,,,,,,7.92,4.81,1.38,0.83,3.19,8.54,3.89,2.23,6.19,7.43,9.02
December,,,,,,,,,,,5.19,0.71,2.38,0.97,10.84,5.27,5.4,3.43,,2.25,2.78
Total,,,,,,,,,,,43.33,33.23,36.07,27.48,36.55,46.68,40.18,41.9,,41.82,33.69
,,,,,,,,,,,,,,,,,,,,,
Note by observer Rainfall allotted to day of measurement until 1934 Since then to previous date,,,,,,,,,,,,,,,,,,,,,
1938 Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1940 Aug Dash replaced by zero,,,,,,,,,,,,,,,,,,,,,
1941 Observer died,,,,,,,,,,,,,,,,,,,,,
