MUNLOCHY (ALLANGRANGE),,,,,,,,,,,,
Grid ref,NH625515,Long,-4.298211,Lat,57.532683,,,,,,,
Station no,5768/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.55,2.18,3.81,,2.77,2.21,,
February,,,,,2.28,1.89,2.00,2.43,0.51,1.70,,
March,,,,,0.82,1.37,2.79,1.10,1.37,0.24,,
April,,,,,0.73,2.05,0.64,1.48,2.66,0.39,,
May,,,,,2.03,1.60,1.62,3.48,1.12,0.18,,
June,,,,,0.98,2.76,2.23,,2.08,2.08,,
July,,,,,0.52,7.94,4.68,,1.92,,,
August,,,,,0.36,6.00,4.33,3.61,1.13,,,
September,,,,,2.08,3.79,1.07,,0.64,,,
October,,,,,3.92,3.67,2.50,,2.68,,,
November,,,,,0.77,2.18,1.71,0.88,3.02,,,
December,,,,4.88,5.89,3.44,4.25,2.28,1.77,,,
Total,,,,,21.93,38.87,31.63,,21.67,,,
Calc annual,0.00,0.00,0.00,4.88,21.93,38.87,31.63,15.26,21.67,6.80,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,0.00,NaN,,
