"DARTMOOR DEVILS TOR PRINCETON NO 2",,,,,,,,,,,,
Grid ref,SX596796,Long,-3.985203,Lat,50.599189,,,,,,,
Station no,1713,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.50,4.50,2.55,,
February,,,,,-999.00,,-999.00,3.30,2.70,0.80,,
March,,,,16.75,,16.30,,1.60,4.40,6.40,,
April,,,,,,,,6.30,3.10,4.20,,
May,,,,5.30,-999.00,,,2.10,3.12,2.30,,
June,,,,,,,-999.00,4.10,1.65,2.50,,
July,,,,,,10.50,,2.20,4.10,4.30,,
August,,,,12.70,,,,2.00,5.10,3.20,,
September,,,,,,,1.60,1.40,3.05,2.40,,
October,,,,18.40,,,8.60,9.20,2.70,10.50,,
November,,,,0.10,,14.40,4.20,5.30,2.70,2.20,,
December,,,,11.50,,,4.30,4.50,4.75,6.40,,
Total,,,49.13,64.75,50.90,41.20,46.80,44.50,41.87,47.75,,
Calc annual,0.00,0.00,0.00,64.75,0.00,41.20,18.70,44.50,41.87,47.75,,
Difference,NaN,NaN,49.13,0.00,50.90,0.00,28.10,0.00,-0.00,0.00,,
