DARTMOOR-DEVILS-TOR-(NEW-GUAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SX591795,Long,-3.9912,Lat,50.5984,Elevation,1570,ft,,,,,,,,,,,,
Station no,1713/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,8.7,11.75,5.55,8.35,3,10.5,14.8,13.2,13.9,5.25,6.65,9.95,11.95,8.72,6.44,10.45,8.2,15.05,4.24,
February,6.9,0,6.9,0.4,9.25,6.55,13.1,3.7,4.9,8,8.95,1.25,4.71,3.11,8.4,6.95,2.5,3.72,3.8,
March,2.7,4.5,7.45,4.8,2,6.1,9.15,1.4,3.2,5.75,6.8,7.05,2.38,0.57,3.96,4.65,14.05,4.34,,
April,5.8,5.85,4.05,6.15,9.05,4.1,6.8,0.3,5.2,5.3,2.25,3.6,2.35,4.21,2.18,3.46,6.15,4.14,,
May,4.5,6.7,3.85,3.45,4.05,1,4.2,5.3,1.38,2,4.6,10.25,7.4,1.23,5.46,6.65,4.48,5.92,,
June,5.7,4.45,3.15,3.5,7.8,5,2.96,3.3,5.7,1.2,3.7,1.1,3.44,6.67,7.45,6.87,6.25,6.05,,
July,8.7,6.6,5.55,2.05,1.8,14.95,5.3,5.65,12.35,5.85,2.73,6.05,5.71,5.61,,3.99,4.89,4.45,,
August,8.7,2.75,4.55,8.3,4.5,1.2,1.8,9.35,5.1,0.7,9.5,5.4,8.12,5.77,4.01,8.49,1.28,6.83,,
September,4.65,10.35,2.75,6.8,9.35,4.95,5.25,3.85,1.1,4,0.65,6.4,6.22,5.55,5.52,11.1,4.18,6.4,,
October,1.85,14.75,7.9,8.35,10.75,4.3,4.85,10.3,7.1,7.05,4.7,6.45,7.11,9.84,8.51,4.75,2.75,8,,
November,14.2,5.65,2.25,3.2,11,6.5,4.8,13.1,17.85,14.56,5.28,1.28,5.37,15.12,1.55,17.5,8.03,4.15,,
December,5.15,6.45,3.15,25.5,8,11.5,6.2,9.05,6.32,8.45,6.55,14.32,5.63,7.24,10.25,8.25,6.75,11.7,,
Total,77.55,79.8,57.1,80.85,80.55,76.65,79.21,78.5,84.1,68.11,62.36,73.1,70.39,73.64,,93.11,69.51,80.75,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,
1933 Jan Rain for 30 days,,,,,,,,,,,,,,,,,,,,
1942 Feb estimated for snow,,,,,,,,,,,,,,,,,,,,
1945 July estimated ,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Annual av values OK,,,,,,,,,,,,,,,,,,,,
