SALISBURY-FOLKESTONE-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU139288,Long,-1.803041,Lat,51.058375,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1506/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.41,3.84,2.97,3.09,0.81,4.52,6.72,3.19,5.86,2.57,3.39,3.85,8.09,3.08,1.86,3.96,2.33,6.33,0.81,0.52,3.07,2.52,0.84,1.65,3.26,5.26,2.23,3.72,4.87,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.68,0.12,3.85,0.16,4.26,2.33,5.68,0.73,2.05,3.45,4.4,0.43,1.57,0.74,2.75,3,1.77,1.48,1.54,5.11,6.01,0.46,1.56,2.53,1.48,0.31,3.86,2.89,0.19,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.84,2.26,4.14,3.43,0.94,2.7,4.32,0.19,1.3,2.88,3.9,2.27,0.57,0.34,1.13,1.08,6.8,1.1,1.1,1.36,3.81,2.91,0.57,3.13,1.38,0.7,1.98,1.97,3.91,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,3.05,3.72,1.43,2.01,4.41,1.48,2.1,0,2.53,0.92,2.53,2.5,0.65,1.75,0.84,3.22,2.28,1.51,2,3.01,3.36,2.12,2.26,0.17,0.36,1.44,0.25,0.7,2.75,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.17,3.88,1.49,0.83,1.08,0.95,2.23,2.2,0.98,0.69,1.86,3.93,3.19,0.16,2.52,4.54,1.8,4,1.99,1.84,2.8,2.94,1.82,3.31,3.69,0.35,1.65,2.25,0.85,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.4,1.44,2.29,1.47,4.9,2.36,1.43,1.04,2.73,0.68,1.25,0.34,1.21,2.04,3.46,5.15,1.9,2.88,0.85,1.02,0.37,1.27,2.06,3.01,3.26,1.73,1.41,4.21,1.11,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.95,2.37,2.23,0.86,0.62,4.4,1.48,3.19,6.81,2.48,1.34,1.22,2.72,3.31,1.49,1.16,1.37,1.02,0.94,5.13,0.98,0.84,2.6,2.13,0.73,2.51,3.98,1.8,2.21,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,5,0.87,0.48,2.54,2.07,0.16,1.2,2.17,2.66,0.05,5.18,4.21,2.61,1.78,2.2,4.13,0.96,3.53,1.78,4.59,5.38,4.14,2.18,3.76,0.24,3.63,2.58,6.07,1.07,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.29,3.26,2.53,2.08,4.46,3.41,2.26,1.65,1.14,1.71,0.87,1.94,2.49,1.61,2.63,7.64,1.46,2.81,3.29,3.73,3.84,3.24,2.25,2.49,1.18,2.95,3.16,4.27,0.11,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.55,4.9,2.12,1.62,5.13,2.31,4.9,3.92,4.18,3.64,1.41,,5.08,5.89,4.19,1.38,0.66,1.97,7.37,0.91,0.69,4.24,3.55,2.77,3.11,2.08,2.37,3.46,2.57,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,4.99,1.73,0.91,1.76,7.67,3.06,1.4,6.04,7.34,8.61,2.73,1.77,1.92,6.73,0.47,6.37,1.53,1.68,4.23,5.48,9.72,2.9,1.96,7.17,3.18,0.83,2.3,2.49,4.27,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,0.91,1.55,0.87,9.7,5.08,4.87,4.4,4.96,2.06,2.48,2.74,6.35,2.77,3.44,4.81,3.29,3.31,5.67,1.44,1.64,3,2.39,0.75,3.26,3.98,4.64,3.03,3.31,7.76,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,30.24,29.94,25.31,29.55,41.43,32.55,38.12,29.28,39.64,30.16,31.6,,32.87,30.87,28.35,44.92,26.17,33.98,27.34,34.34,43.03,29.97,22.4,35.38,25.85,26.43,28.8,37.14,31.67,43.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
