HOUNSLOW-PAWNALL-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ136750,Long,-0.36614092,Lat,51.462583,Elevation,70,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,838/4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.52,,4.61,1.55,1.87,1.4,1.39,3.36,0.87,0.79,2.97,1.81,0.92,0.97,2.16,3.67,1.4,2.2,2.11,1.87
February,,,,,,,,,,,1.95,,1.08,0.72,1.48,1.9,1.2,1.22,1.04,3.4,5.3,0.75,1.22,1.91,1.25,0.24,2.83,2.52,0.09,1.91
March,,,,,,,,,,,3.38,,0.36,0.09,0.86,1.12,4.86,0.55,0.96,0.74,3.01,2.82,0.36,2.12,0.96,0.65,0.93,1.13,1.84,1.71
April,,,,,,,,,,,1.59,0.83,0.7,1.38,1.3,2.14,1.51,1.53,1.44,2.44,2.31,1.37,2.6,0.33,0.29,1.22,0.24,1.18,2.21,0.54
May,,,,,,,,,,1.2,1.61,2.79,2.16,0.67,2.46,3.51,1.59,3.17,2.18,1.73,2.01,2.21,1.32,1.73,3.66,0.18,1.25,2.41,0.85,1.8
June,,,,,,,,,,0.9,2.32,1.36,1.24,1.69,2.08,2.89,3.25,1.91,0.47,1.96,0.85,1.66,1.75,3.81,2.31,1.67,0.96,4.06,0.67,1.52
July,,,,,,,,,,2.41,3.05,1.8,2.02,1.37,3.42,2.31,1.52,0.88,1.3,3.41,1.04,0.57,3.22,2.91,0.21,4.83,3.67,2.37,1.87,3.36
August,,,,,,,,,,0.04,5.95,2.61,1.55,2.55,1.31,3.42,0.28,2.87,1.57,2.73,3.74,3.91,1.67,3.29,0.86,3.85,3.7,3.73,1.07,2.32
September,,,,,,,,,,1.45,0.4,0.84,1.97,2.4,1.65,2.94,1.08,1.3,0.46,2.62,2.2,3.11,2.27,1.85,1.71,2.08,2.54,3.83,0.11,3.58
October,,,,,,,,,,2.42,0.92,3.29,2.24,2.92,2.37,1.54,0.15,2.03,5.35,0.41,0.77,2.43,2.84,2.24,3.54,2.2,1.87,2.19,1.96,5.67
November,,,,,,,,,,6.86,2.5,2,1.09,3.42,0.39,4.22,1.11,1.72,2.03,4.33,5.55,3.01,1.16,3.59,1.1,0.27,2.51,2.16,2.43,3.67
December,,,,,,,,,,1.12,1.61,2.28,1.26,1.27,2.7,2.02,2.53,2.39,1.69,1.62,1.47,2.55,0.59,1.98,1.85,2.66,1.56,3.17,3.6,2.15
Total,,,,,,,,,,,27.8,,20.28,20.03,21.89,29.41,20.47,22.93,19.36,26.18,31.22,26.2,19.92,26.73,19.9,23.52,23.46,30.95,18.81,30.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and has the correct relationship to the church. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The gauge appears to have stared in Pawnall Gardens is 300m NE but the relationship to the church does not fit this, but may have mistakenly used the Church Hall. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gauge moved  locally around the NGR used (Hanworth Road/St Stephens Road) in the late 1950s but the impression given is that the gauge was in the area prior to this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is no mention of a move from Pawnall Gardees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
