WEST-PORLOCK-(WEST-PORLOCK-HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SS872470,Long,-3.61625,Lat,51.21113,Elevation,130,ft,,,,,,,,,,,,,
Station no,2103/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,,7.33,3.63,5.07,1.18,5.6,7.96,7.02,8.18,3.02,4.32,4.88,9.23,3.67,3.44,5.67,4.18,10.34,2.02,1.48,5.29
February,,0.02,3.75,0.25,5.08,2.63,7.11,1.55,2.94,3.19,4.49,0.19,3.72,0.66,4.72,4.58,1.17,2.59,1.93,8.96,6.52
March,,3.23,3.78,3.63,1.61,3.46,4.7,0.2,1.88,2.57,4.18,2.75,1.49,0.27,1.71,1.71,6.37,2.07,1.61,2.22,4.94
April,,3.64,0.93,3.09,6.97,3.27,3.1,0.26,3.95,4.05,1.36,2.92,0.92,1.78,1.29,3.52,3.75,3.04,2.7,3.08,4
May,,3.29,2.14,1.85,2.1,0.83,2.45,3.45,0.98,1.32,1.79,5.47,4.82,0.56,3.47,4.07,2.69,3.75,3.35,2.51,3.23
June,,,1.02,1.3,3.43,1.53,0.87,2.11,2.18,0.6,1.67,0.5,1.84,2.81,2.57,2.11,2.25,1.97,0.73,0.99,
July,,,1.8,0.48,0.19,6.16,1.52,3.75,5.36,4.92,1.17,2.41,2.44,1.86,3.21,2.43,1.59,1.19,1.72,2.73,
August,,,1.37,4.38,3.3,0.24,0.59,6.81,2.97,0.13,3.77,2.88,3.21,4.03,1.75,6.12,0.44,2.99,1.84,4.29,
September,,,1.83,2.36,7.47,3.76,3.32,1.4,0.54,2.21,0.51,3.71,5.15,3.81,4.02,3.94,1.4,2.94,2.01,5.01,
October,,,4.84,5.32,5.76,2.86,4.57,6.15,2.84,5.59,3.12,3.52,3.1,5.44,5.67,0.95,0.83,3.72,8.47,2.05,
November,,,1.26,2.53,8.11,5.23,2.5,8.46,9.85,10.59,3.3,1.44,3.75,8.85,0.8,8.16,3.51,2.32,4.88,8.25,
December,,,1.06,9.06,5.9,7.71,3.97,5.35,3.68,3.38,4.39,6.27,3.38,6.15,7.03,5.57,3.88,6.89,4.04,4,
Total,,,27.41,39.32,51.1,43.28,42.66,46.51,45.35,41.57,34.07,36.94,43.05,39.89,39.68,48.83,32.06,43.81,35.3,45.57,
,,,,,,,,,,,,,,,,,,,,,
1932 June-Dec Estimated,,,,,,,,,,,,,,,,,,,,,
1933 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1934 July 1 Inspection No leak but wooden boards project above rim of gauge on 3 sides,,,,,,,,,,,,,,,,,,,,,
1934 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1935 Jan 1 Wooden boards removed,,,,,,,,,,,,,,,,,,,,,
1938 July 28 Inspection Exposure satisfatory except for 1 small tree,,,,,,,,,,,,,,,,,,,,,
1951 June 1 Gauge moved 0.25 miles W ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9012,,,,,,,,,,,,,,,,,,,,,
1932-1951,,,,,,,,,,,,,,,,,,,,,
