MURROES SCHOOLHOUSE,,,,,,,,,,
Grid ref,NO 37757 35360,Long,-3.01285,Lat,56.506172,Elevation,425,ft,,
Station no,RR8832,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.69,4.42,3.45,1.65,2.27,,,,
February,,1.05,2,1,2.8,5.62,,,,
March,,1.05,3.2,3.75,3.2,1.53,,,,
April,,1,0.1,2.42,1.5,0.89,,,,
May,,0.89,2.2,1.33,2,1.1,,,,
June,,0.92,4.62,2.34,0.5,1.23,,,,
July,,1.3,3.05,1.2,3,3.87,,,,
August,,0.92,5.65,1.45,2.25,3.54,,,,
September,,1.35,3.61,2.9,0.8,1.12,,,,
October,,1.82,4.04,1.5,2.5,3.25,,,,
November,,3.4,1.4,2.5,1,1.42,,,,
December,,5.05,2.32,0.9,2.5,5.94,,,,
Total,,20.44,36.61,24.74,23.7,31.78,,,,
,,,,,,,,,,
Station no,RR8832,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
