Rainfall at,BRADFORD HEWENDEN RESERVOIR NO. 6
,
Station no,3276,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.01,7.76,4.83,3.23,3.16,5.18,4.84,3.64,10.45,1.76,7.03,
February,3.74,0.26,4.92,7.14,1.16,7.13,3.61,1.95,5.44,0.61,1.22,
March,3.71,3.37,3.05,2.65,1.69,1.35,2.12,3.90,3.23,0.35,2.91,
April,5.48,1.32,3.74,3.14,2.44,3.58,1.90,3.09,1.16,1.16,3.48,
May,4.95,1.87,1.16,4.23,5.54,4.77,3.66,1.16,1.69,2.40,1.55,
June,2.16,0.13,1.69,0.98,2.80,0.07,2.42,3.58,5.80,1.08,2.05,
July,6.62,2.62,4.78,3.66,4.00,1.08,2.60,2.96,0.99,2.28,5.83,
August,1.83,5.07,5.91,4.30,3.72,4.58,3.39,6.45,4.43,2.62,5.23,
September,1.81,1.54,4.39,4.46,4.26,3.02,2.51,4.44,0.53,0.86,5.27,
October,2.37,2.37,0.94,4.57,4.34,4.97,3.64,4.63,5.72,4.86,4.98,
November,2.72,2.46,1.98,5.92,2.94,2.65,6.64,4.12,7.02,7.08,5.90,
December,4.31,6.60,4.15,3.19,5.39,5.20,1.31,1.99,2.27,9.95,3.53,
Total,44.71,35.37,41.54,47.47,41.44,43.58,38.64,41.91,48.73,35.01,48.98,
Calc annual,44.71,35.37,41.54,47.47,41.44,43.58,38.64,41.91,48.73,35.01,48.98,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,
