BRADFORD HEWENDEN RES. (NEW GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE072355,Long,-1.891366,Lat,53.816182,Elevation,701,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.16,5.31,4.14,1.23,0.42,0.45,3.91,5.81,6.11,2.03,6.31,1.72,1.31,1.53,4.78,2.31,2.87,0.94,5.11,3.71,1.37,2.44,3.46,6.61,5.28,2.96,2.64,3.36,3.9,1.63,5.65,2.13,2.55,2.24,6.22,1.49,4.98,4.12,2.76,6.05,4.38,2.75,3.16,6.17,5.01,7.76,4.83,3.23,3.16,5.18,4.84,3.64,10.45,1.76,7.03,3.46,4.17,2.6,3.99,1.9,5.34,5.08,5.91,6.29,3.23,4.25,4.73,6.09,6.63,4,4.72,4.07,9.89,1.97,2.83,4.49,5.12,0.9,3.53,2.54,5.98,3.4,4.33,3.61,5.82
February,,,,,,,4.31,3.83,1.48,2.98,3.73,4.74,2.59,2.58,3.32,3.2,0.68,0.57,0.73,2.16,0.68,0.13,2.89,4.27,6.91,0.44,1.75,3.47,4.35,2.53,4.02,1.62,1.57,3.92,4.73,2.13,3.14,3.13,3.81,1.79,3.67,4.6,2.12,1.36,3.02,5.57,5.76,0.56,6.31,1.93,3.74,0.26,4.92,7.14,1.16,7.13,3.61,1.95,5.44,0.61,1.22,4.96,0.24,4.05,0.3,6.14,2.71,6.92,1.76,4.61,2.82,4.91,1.23,2.9,2,4.71,6.28,3.45,3.63,3.34,6.88,4.32,1.13,2.91,3.54,2.86,1.75,3.32,6.84,0.34,3.68
March,,,,,,,4.55,3.76,2.15,1.62,3.14,4.57,3.54,1.16,2.74,1.92,3.2,2.11,3.75,2.02,2.78,2.28,1.2,0.96,3.88,2.93,6.05,6.43,1.43,2.65,0.97,3.25,1.8,5.26,2.64,3.5,3.11,3.71,4.19,3.78,1.13,1.9,4.64,5.69,4.1,0.86,4.25,3.37,1.8,5.58,3.71,3.37,3.05,2.65,1.69,1.35,2.12,3.9,3.23,0.35,2.91,0.35,2.61,2.33,3.09,1.81,2.91,3.06,0.77,3.13,2.9,4.6,3.66,1.37,0.27,0.96,1.56,8.51,1.77,1.11,1.98,4.75,2.36,1.96,2.93,2.76,1.95,2.85,2.21,1.72,2.26
April,,,,,,,2.92,3.46,2.05,2.52,1.52,1.39,4.7,2.95,1.53,2.18,2.79,1.02,2.56,3.14,1.15,2.23,1.51,0.86,2.68,2.47,2.08,2.74,3.37,3.22,2.57,2.92,1.94,2.05,2.62,2.82,2.12,2.87,2.65,3.85,3.63,1.47,0.9,3.9,1.86,1.66,2.69,2.21,1.05,2.2,5.48,1.32,3.74,3.14,2.44,3.58,1.9,3.09,1.16,1.16,3.48,3.74,4.21,1.33,2.54,4.45,1.61,2.73,0.46,1.45,3.54,2.68,2.37,2.28,3.99,2.46,1.48,4.27,2.96,4.1,3.67,2.11,2.51,2.97,0.45,1.23,3.42,0.39,1.19,3.91,2.43
May,,,,,,,0.82,2.77,4.88,1.25,2.51,2.45,1.35,1.01,2.09,2.5,4.95,1.99,1.1,2.46,3.49,2.76,3.63,2.29,2.1,0.84,0.79,1.2,2.83,3.08,1.76,1.22,3.02,3.52,3.62,0.77,3.64,3.47,2.8,2.76,3.16,1,3.06,3.26,1.24,1.92,2.56,2.24,4.51,2.62,4.95,1.87,1.16,4.23,5.54,4.77,3.66,1.16,1.69,2.4,1.55,3.76,4.27,3.04,2.6,0.8,1.45,3.17,4.13,1.18,0.71,2.8,4.56,2.9,2.54,3.81,2.21,3.73,1.29,2.81,2.54,4.56,2.41,2.16,3.3,3.11,1.4,1.56,5.44,1.7,2.25
June,,,,,,,2.8,1.8,3.32,5.37,2.66,2.05,4.65,3.18,1.1,3.49,1.54,0.18,2.15,0.65,3.22,1.57,4.05,2.28,3.5,2.39,6.97,3.73,2.67,2.49,4.06,1.22,1.65,1.39,1.57,2.94,2.14,5.9,1.83,3.13,2.51,3.83,6.72,1.57,2.42,0.86,3.39,2.32,2.11,1.18,2.16,0.13,1.69,0.98,2.8,0.07,2.42,3.58,5.8,1.08,2.05,5.53,0.71,2.72,2.12,3.47,4.36,2.28,4.3,2.83,0.41,0.42,1.3,3.64,2.39,2.94,2.65,3.03,4.32,0.6,0.96,1.18,2.45,3.74,1.54,2.27,8.8,1.95,5.27,2.62,1.16
July,,,,,,,2.4,4.51,1.58,4.46,5.13,4.8,3.98,3.52,4.75,1.16,4.47,1.59,5.23,2.75,1.9,2.83,2.31,3.54,3.67,5.9,2.22,0.98,1.16,1.48,2.87,1.65,3.02,4.36,1.97,1.75,2.69,2.54,4.34,5.2,2.9,0.33,5.73,0.88,2.8,4.86,2.18,1.72,4.99,2.79,6.62,2.62,4.78,3.66,4,1.08,2.6,2.96,0.99,2.28,5.83,3.27,4.21,2.41,2.04,1.07,4.18,3.02,3.99,6.01,3.42,1.38,2.62,2.08,3.76,2.35,3.66,2.11,1.1,3.65,3.65,2.9,1.56,4.58,3.02,0.72,5.19,3.76,4.14,2.69,4.86
August,,,,,,,3.02,4.82,6.34,4.06,1.95,4.37,1.93,1.59,1.03,1.2,1.87,1.49,3.05,4.09,4.69,5.83,2.94,2.57,3.55,4.4,1.75,3.63,4.13,1.59,5.92,2.1,3.64,4.17,4.57,5.44,4.89,2.99,3.15,3.47,4.61,2.05,6.32,1.2,2.24,6.24,2.57,6.14,2.29,2.78,1.83,5.07,5.91,4.3,3.72,4.58,3.39,6.45,4.43,2.62,5.23,4.64,1.4,0.77,2.47,1.47,2.54,1.8,5.92,2.05,1.14,5.64,4.05,4.39,2.93,5.48,6.39,0.39,4.15,4.25,6.06,4.97,5.24,4.14,8.25,1.17,8.28,5.43,3.9,0.9,4.38
September,,,,,,,3.76,3.29,4.3,1.7,3.81,2.6,1.7,6.56,2.21,4.51,2.58,4.03,0.73,1.65,1.77,2.88,2.9,2.6,0.72,1.95,6.25,4.31,0.88,6.13,1.04,1.39,1.8,5.33,0.81,2.1,0.82,0.72,3.2,3.84,0.22,3.37,1.85,1.83,2.39,0.84,2.05,1.84,10.15,1.64,1.81,1.54,4.39,4.46,4.26,3.02,2.51,4.44,0.53,0.86,5.27,3.77,4.23,1.77,1.92,6.59,4.26,1.49,1.7,1.41,3.6,0.48,2.36,4.84,6.18,2.23,6.85,2.21,2.1,0.86,6.08,2.59,4.1,3.46,4.74,1.64,4.29,4.61,3.7,0.18,2.99
October,,,,,,,2.54,5.29,4.29,1.72,3.51,4.25,4.47,4.89,2.24,6.27,6.16,2.55,1.15,4.74,2.02,4.36,7.21,3.49,6.26,4.11,5.52,1.75,5.54,3.16,4.6,2.49,4.26,10.72,1.11,3.49,6.25,5.34,2.15,4.15,3.57,3.95,4.11,2.54,2.38,1.91,8.12,7.83,2.91,2.39,2.37,2.37,0.94,4.57,4.34,4.97,3.64,4.63,5.72,4.86,4.98,1.75,6.11,4.52,3.92,8.71,4.2,2.66,9.15,3.06,4.7,4.88,5.39,2.31,4.6,6.67,1.04,1.2,1.33,4.24,2.5,1.56,5.05,2.49,6.86,3.07,2.13,4.32,3.56,4.73,6.1
November,,,,,,,3.93,5.71,2.95,1.32,3.71,5.21,6.84,4.83,1.85,2.84,3.1,2.81,7.9,1.17,4.95,4.19,2.19,2.81,2.73,4.9,1.46,3.93,2.59,2.12,4.37,5.88,3.04,2.72,3.62,4.79,4.46,3.08,2.96,1.82,4.72,3.81,2.83,3.91,6.39,2.63,4.68,4.35,2.11,4.08,2.72,2.46,1.98,5.92,2.94,2.65,6.64,4.12,7.02,7.08,5.9,7.96,2.65,2.58,2.08,6.96,5.32,2.22,5.84,6.53,6.8,3.47,1.82,3.23,6.96,0.69,6.88,5.39,1.65,6.33,4.98,9.18,1.96,5.05,6.4,2.64,1.5,2.52,0.94,4.84,7.65
December,,,,,,,7.41,4.79,2.07,2.5,5.53,4.27,4.39,2.7,5.55,1.6,6.12,2.8,2.24,2.03,1.11,8.01,1.63,4.24,3.46,4.63,4.98,5.4,5.28,3.65,4.88,5.93,3.8,2.07,2.68,1,3.95,4.79,2.58,6.43,4.94,5.92,4.49,2.52,8.54,8.53,4.08,2,7.57,7.41,4.31,6.6,4.15,3.19,5.39,5.2,1.31,1.99,2.27,9.95,3.53,2.39,1.83,0.48,6.3,3.86,4.46,2.64,4.66,2.55,3.32,2.03,3.12,2.7,5.26,2.68,4.01,4.25,4.58,7.58,2.68,8.21,4.29,2.18,6.07,5.74,5.14,4.78,5.42,8.57,5.52
Total,,,,,,,39.62,49.34,39.55,30.73,37.62,41.15,44.05,40.78,34.52,32.9,43.77,22.86,31.9,28.39,32.54,39.38,35.33,30.85,44.57,38.67,41.19,40.01,37.69,38.71,42.34,32.63,32.18,48.87,33.84,32.36,42.86,40.67,36.21,42.46,41.28,33.72,47.75,32.78,40.14,41.93,46.71,37.33,48.96,40.77,44.71,35.37,41.54,47.47,41.44,43.58,38.64,41.91,48.73,35.01,48.98,45.58,36.64,28.6,33.37,47.23,43.34,37.07,48.59,41.1,36.59,37.54,37.21,38.73,47.51,38.98,47.73,42.61,38.77,40.84,44.81,50.82,38.18,36.54,50.63,29.75,49.83,38.89,46.94,35.81,49.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
