TEDDINGTON-HOLMESDALE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ172705,Long,-0.31583176,Lat,51.421405,Elevation,25,ft.,,,,,,,,,,,,,
Station no,835,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.73,2.57,2.08,3.1,0.9,2.72,0.82,1.46,1.1,,,,,,,
February,,,,,,3.43,2.29,3.76,1.49,0.29,0.67,1.28,0.16,,,,,,,,
March,,,,,,0.41,0.22,2.71,1.39,0.01,1.78,0.15,1.18,,,,,,,,
April,,,,,3.05,2.12,2.61,1.75,1.45,0.91,1.6,3.78,1.85,,,,,,,,
May,,,,,3.29,1.85,1.65,1.89,2.19,1.22,3.15,2.33,4.81,,,,,,,,
June,,,,,2.89,0.39,3.46,2.75,2.43,1.02,1.71,1.58,0.86,,,,,,,,
July,,,,,3.19,3.8,1.93,2.95,2.19,2.2,1.84,3.82,2.21,,,,,,,,
August,,,,,2.44,2.46,1.26,4.16,2.36,2.09,2.71,4.6,1.31,,,,,,,,
September,,,,,2.98,2.47,1.48,4.56,0.93,0.13,2.73,4.27,2.33,,,,,,,,
October,,,,,3.55,2.1,2.26,1.22,3.59,2.37,0.96,0.75,5.18,,,,,,,,
November,,,,,2.28,1.79,5.45,2.55,1.7,4.98,4,1.66,0.92,,,,,,,,
December,,,,,2.81,2.59,0.29,3.32,2.24,4.37,1.66,0.51,0.35,,,,,,,,
Total,,,,,,25.14,25.47,33.7,25.06,20.49,25.53,25.55,22.62,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is mid-point of Holmesdale Road, assumed to be near Holmesdale.",,,,,,,,,,,,,,,,,,,,,
Altitudes match as do relationships to church and station,,,,,,,,,,,,,,,,,,,,,
