WESTON-BY-WELLAND,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP775914,Long,-0.85938679,Lat,52.514986,Elevation,254,ft,,,,,,,,,,,,,
Station no,1146,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.35,2.25,1.13,3.22,2.26,3.93,1.46,3.3,2.18,1.31,1.41,1.6,,,,,,
February,,,,4.47,0.83,2.63,2.75,2.6,1.95,0.54,1,2.66,0.6,2.33,0.5,,,,,,
March,,,,2.67,0.76,1.25,0.9,2.24,1.67,0.11,1.57,0.21,1.71,2.44,1.83,,,,,,
April,,,,2.15,2.55,1.55,2.25,1.8,0.87,1.82,3,3.82,3.3,0.57,2.22,,,,,,
May,,,,1.5,4.44,4.52,2.41,1.1,1.91,1.37,3.12,2.04,4.1,1.62,0.85,,,,,,
June,,,,0.71,2.19,0.04,2.08,4.5,3.09,1.39,1.23,2.46,0.62,1.47,0.93,,,,,,
July,,,,3.95,3.08,2.4,2.12,2.52,1.74,2.02,4.07,4.03,3.94,1.89,1.26,,,,,,
August,,,,2.09,2.52,1.13,1.42,4.68,2.53,1.3,2.3,3.12,3.74,0.95,1.67,,,,,,
September,,,,3.38,2.64,2.96,2.14,4.05,0.86,1.4,4.03,4.08,4.12,2.02,3.03,,,,,,
October,,,,3.65,4.49,3.1,2.24,1.88,3.14,3.03,1.82,0.62,3.92,1.9,1.4,,,,,,
November,,,1.35,1.94,2.45,2.11,4.2,3.31,3.1,5.82,2.84,2.53,2.76,1.82,1.31,,,,,,
December,,,3.29,3.02,2.97,2.19,0.73,2.69,2.36,4.69,2.59,0.99,0.77,0.45,3.85,,,,,,
Total,,,,30.88,31.17,25.01,26.46,33.63,27.15,24.95,30.87,28.74,30.89,18.87,20.45,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1925 Mar IDR,,,,,,,,,,,,,,,,,,,,,
