KEIR MANSE DUMFRIES,,,,,,,,,,,,,,,,,,,,
Grid ref,NX861932,Long,-3.7919571,Lat,55.219848,Elevation,155,ft,,,,,,,,,,,,
Station no,RR7321,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,0.3,4.3,3.5,3.6,7.3,6,,,,,,,,,
February,,,,,,0.9,5.2,4,1.4,7,3.7,,,,,,,,,
March,,,,,,3,1.3,4.6,2.7,5.2,2.5,,,,,,,,,
April,,,,,,1.4,3,2.5,3.65,3.5,1.2,,,,,,,,,
May,,,,,,1.8,3.1,2.6,5.2,0.34,,,,,,,,,,
June,,,,,,3.2,5.3,3.3,2.8,,,,,,,,,,,
July,,,,,3.1,3.1,2,2.7,4,2.4,,,,,,,,,,
August,,,,,5.1,5.1,4.7,3.4,4.6,2.2,,,,,,,,,,
September,,,,,2,0.5,2.7,3.8,5,5.2,,,,,,,,,,
October,,,,,6.6,7.15,3.2,4.1,7.5,3.2,,,,,,,,,,
November,,,,,1.6,3,1.75,3.8,2.7,4.7,,,,,,,,,,
December,,,,,5.4,3.8,6.5,5.4,5,5.7,,,,,,,,,,
Total,,,,,,33.25,43.05,43.7,48.15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1858 July recorded with ""?""",,,,,,,,,,,,,,,,,,,,
1860 data manually added - noted on 1850 TYR,,,,,,,,,,,,,,,,,,,,
