TURTON (TURTON TOWER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD731153,Long,-2.408275,Lat,53.633526,Elevation,584,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2872/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.92,5.54,4.54,6.58,6.28,3.91,1.98,7.32,6,6.16,5.16,6.33,4.45,11.96,3.51,3.83,5.22,5.48,2.44,5,3.49,7.43,4.76,4.4,3.81,7.46
February,,,,,7.43,3.2,7.8,2.31,5.82,3.39,5.85,2.33,3.13,2.49,6.74,7.75,1.35,3.52,3.59,6.21,3.79,2.37,1.93,4.4,2.76,1.28,3.96,9.21,0.74,3.87
March,,,,,1.95,4.14,2.02,1.71,2.66,3.28,3.65,4.26,1.33,0.87,1.82,1.1,7.86,2.17,2.62,2.82,5.54,3,3.06,3.64,2.37,1.97,4.61,2.64,2.43,1.62
April,,,,,4.22,1.15,4.51,0.93,3.08,3.27,1.73,2.52,2.79,3.27,2.8,1.45,4.12,2.6,4.52,4.17,2.67,4.44,3.58,1.14,3.39,3.3,0.89,1.9,4.07,3.43
May,,,,,1.55,1.12,2.21,4.92,1.75,0.93,3.76,4.19,3.2,3.07,4.75,1.9,2.95,2.24,4.26,2.03,2.4,2.76,2.89,3.36,4.89,2.08,2.54,5.6,1.99,2.75
June,,,,,4.9,4.87,2.11,5.73,4,1.14,0.61,0.71,4.32,4.02,5.7,3.98,3.08,7.43,0.85,2.73,1.49,4.51,2.91,4.19,3.9,2.91,2.72,5.16,2.93,1.6
July,,,,,2.59,5.32,2.59,5.44,8.99,5.6,2.76,5.82,3.44,4.34,4.06,4.45,3.15,2.8,2.33,4.82,3.95,2.99,6.88,8.61,1.21,7.73,7.27,4.63,5.01,9.34
August,,,,,2.14,3.53,3.09,3.82,3.14,2.43,8.07,5.93,7.5,3.86,3.51,8.69,0.24,5.43,3.48,7.8,4.89,6.04,5.59,7.4,1.49,12.57,7.98,5.05,0.58,7.03
September,,,,,9.15,6.28,2.09,2.82,1.48,5.62,1.26,3.83,4.83,6.43,3.62,8.6,3.98,3.77,2.11,9.84,3.92,5.24,5.72,6.54,4.74,4.35,8.81,5.57,0.4,4.03
October,,,,,11.39,6.06,2.57,12.66,2.59,5.43,5.77,8.47,3.82,6.41,7.23,1.27,0.96,3.99,5.71,3.74,0.92,5.22,2.31,9.79,2.87,3.95,8.18,5.63,6.14,5.5
November,,,,,5.7,7.87,2.26,6.75,8.59,9.08,3.37,1.52,4.69,8.73,0.73,8.67,6.76,2.78,7.12,7.68,9.57,3.11,6.5,8.38,2.76,1.82,2.39,2.56,5.54,9.1
December,,,,,4.87,5.6,3.66,5.8,4,6.87,2.92,5.84,2.73,5.22,3.89,4.62,4.32,5.12,8.38,4.44,11.18,5.43,2.28,7.5,8.54,5.34,6.36,5.27,10.34,6.4
Total,,,,,58.81,54.68,39.45,59.47,52.38,50.95,41.73,52.74,47.78,54.87,50.01,58.81,43.22,53.81,48.48,60.11,55.54,50.59,46.09,69.95,42.41,54.73,60.47,57.62,43.98,62.13
