MOTHERWELL MURDOSTOUN CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 825 573,Long,-3.874864,Lat,55.794609,Elevation,550,ft,,,,,,,,,,,,
Station no,RR1886,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.75,4.3,5.08,1.9,2,5.1,0.75,5.22,3.3,3.31,,,,,,,,,
February,,1.8,0.08,1.48,1.5,1.7,3.8,2.1,3.72,3.9,1.48,,,,,,,,,
March,,3.28,3.3,1.22,2.3,0.9,1.8,1.22,3,4.34,0.6,,,,,,,,,
April,,0.6,2.6,2.72,1.4,0.4,1.1,3.9,2.8,1.2,0.9,,,,,,,,,
May,,0.72,5,2.1,2,0.6,1.4,4.6,1.1,1.4,1.3,,,,,,,,,
June,,2.41,3.2,2.5,2,2.6,1.8,3.2,0.81,3.96,2.21,,,,,,,,,
July,,4.07,5.3,0.62,2.6,3.6,4.3,3.92,0.21,2.1,1.9,,,,,,,,,
August,,3.71,2.16,3.32,1.2,4.2,3.2,3.03,3.6,0.9,1.03,,,,,,,,,
September,,4.96,4.12,3.25,4,0.8,4,2.8,0.62,4.1,0.47,,,,,,,,,
October,,4.12,2.6,3.75,5.4,3.14,1.9,3.1,3,1.24,2.7,,,,,,,,,
November,,4.5,2,2.83,2.1,3.26,2.3,1.7,2.1,3.21,1.02,,,,,,,,,
December,,1.65,5.1,3.1,2.2,2,3.9,1.8,3.68,3.2,0.56,,,,,,,,,
Total,,33.57,39.76,31.97,28.6,25.2,34.6,32.12,29.86,32.85,17.48,,,,,,,,,
