Rainfall at,HALLINGTON RES.
,
Station no,3573,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.19,5.45,2.88,1.28,2.31,1.96,2.25,1.96,3.59,1.65,3.49,
February,1.62,0.14,2.55,3.42,0.94,3.31,2.61,0.67,1.94,0.86,2.11,
March,2.54,1.26,1.75,1.45,0.98,2.43,1.27,2.74,2.90,0.27,2.34,
April,3.42,0.77,2.22,2.06,1.51,2.33,1.10,2.41,0.67,1.85,1.99,
May,3.53,1.18,0.70,1.76,5.67,2.98,2.70,1.79,1.43,0.91,1.36,
June,1.12,0.80,1.94,0.90,1.65,0.13,4.23,4.00,4.24,1.74,0.84,
July,3.11,1.33,4.31,1.85,5.27,1.97,4.48,4.15,1.48,3.72,5.79,
August,2.24,7.43,1.89,4.10,3.25,4.65,2.71,5.78,4.47,2.61,4.87,
September,1.46,1.93,4.45,1.63,2.58,3.85,3.12,4.45,1.21,1.41,2.49,
October,1.94,2.36,1.42,2.44,3.05,2.04,3.48,2.31,3.52,3.14,2.93,
November,1.44,2.16,0.61,3.85,1.14,1.95,3.23,3.09,3.19,3.04,3.79,
December,4.56,2.75,3.60,1.80,2.55,4.52,0.48,3.35,2.33,3.68,2.11,
Total,30.17,27.56,28.32,26.54,30.90,32.12,31.66,36.70,30.97,24.88,34.11,
Calc annual,30.17,27.56,28.32,26.54,30.90,32.12,31.66,36.70,30.97,24.88,34.11,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
