"TUAM CASTLE HACKET",,,,,,,,,,,,
Grid ref,IM3571049915,Long,-8.969568,Lat,53.495512,,,,,,,
Station no,RR1191,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.45,2.71,4.13,,4.62,2.79,5.32,2.06,2.53,3.55,,
February,3.37,1.16,2.63,,4.86,2.98,3.35,2.01,2.03,2.66,,
March,1.26,3.15,2.83,,3.31,4.59,2.79,3.92,3.83,2.82,,
April,3.83,3.60,3.01,,2.64,1.63,2.31,2.47,1.96,4.38,,
May,3.30,2.04,2.33,,3.25,1.94,3.54,3.73,3.92,2.26,,
June,2.83,4.01,2.25,,1.66,1.59,2.77,3.58,1.34,0.60,,
July,2.19,1.64,1.45,,6.10,1.19,2.38,1.88,1.56,3.07,,
August,3.23,3.25,1.99,,6.08,4.36,4.09,3.24,3.60,1.59,,
September,1.91,7.16,2.68,,3.99,1.88,1.65,1.72,6.19,3.09,,
October,2.83,3.72,2.65,,2.55,1.44,4.79,4.11,1.49,7.22,,
November,8.40,3.31,4.92,,2.73,3.59,2.30,3.13,2.55,2.03,,
December,7.61,4.12,3.45,,3.47,1.78,3.25,4.44,5.52,4.00,,
Total,45.21,39.87,34.32,,45.26,29.76,38.54,36.29,36.52,37.27,,
Calc annual,45.21,39.87,34.32,0.00,45.26,29.76,38.54,36.29,36.52,37.27,,
Difference,0.00,-0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
