TUAM CASTLE HACKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IM3571049915,Long,-8.969568,Lat,53.495512,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.47,3.33,5.07,2.19,1.92,2.62,2.94,2.81,1.41,1.96,3.53,,4.45,2.71,4.13,,4.62,2.79,5.32,2.06,2.53,3.55,4.67,1.9,,7.17,1.66,1.41,,,,
February,,,,,,,,,0.66,3.21,0.28,0.26,2.13,4.13,5.68,0.41,2.09,3.39,3.53,,3.37,1.16,2.63,,4.86,2.98,3.35,2.01,2.03,2.66,5.39,3.87,3.99,2.41,7.42,4.76,,,,
March,,,,,,,,,3.14,2.18,2.19,1.58,1.27,0.88,2.86,5.22,5.08,7.93,1.28,,1.26,3.15,2.83,,3.31,4.59,2.79,3.92,3.83,2.82,3.41,2.21,4.48,5.31,4,0.93,,,,
April,,,,,,,,,2.46,1.96,1.95,1.67,2.01,1.3,3.7,1.46,1.25,5.46,2.67,,3.83,3.6,3.01,,2.64,1.63,2.31,2.47,1.96,4.38,2.16,2.45,1.56,3.86,1.82,1.94,,,,
May,,,,,,,,,3.43,4.17,2.09,1.88,4.64,1.69,4.26,0.78,0.31,1.76,3.25,,3.3,2.04,2.33,,3.25,1.94,3.54,3.73,3.92,2.26,2.31,3.11,0.73,3.88,2.43,2.18,,,,
June,,,,,,,,,6.36,2.04,3.49,2.09,2.27,1.57,2.5,0.6,4.25,2.89,2.66,,2.83,4.01,2.25,,1.66,1.59,2.77,3.58,1.34,0.6,4.51,2.36,4.27,2.96,0.68,1.52,,,,
July,,,,,,,,,4.12,2.58,4.55,1.28,3.18,2.82,5.46,5.51,6.39,2.25,1.22,,2.19,1.64,1.45,,6.1,1.19,2.38,1.88,1.56,3.07,4.54,4.83,3.81,1.01,4.26,5.83,,,,
August,,,,,,,,,3.5,4.74,3.31,7.18,6.13,4.7,4.38,4.56,2.45,5.95,3.54,,3.23,3.25,1.99,,6.08,4.36,4.09,3.24,3.6,1.59,5.51,2.88,4.2,0.97,4.86,4.32,,,,
September,,,,,,,,,0.83,2.64,3.23,3.78,6.37,2.24,0.13,0.91,7.38,2.11,2.7,,1.91,7.16,2.68,,3.99,1.88,1.65,1.72,6.19,3.09,1.52,1.94,0.38,4.84,2.59,2.67,,,,
October,,,,,,,,,3.25,5.91,3.73,7.54,3.71,3.54,4.18,3.22,3.25,3.18,1.88,,2.83,3.72,2.65,,2.55,1.44,4.79,4.11,1.49,7.22,2.26,3.63,4.36,4.13,1.37,3.7,,,,
November,,,,,,,,,3.18,2.45,6.03,2.58,6.1,1.86,4.73,5.17,1.77,4.37,4.9,,8.4,3.31,4.92,,2.73,3.59,2.3,3.13,2.55,2.03,3.13,5.61,4.15,5.35,5.85,3.05,,,,
December,,,,,,,,,5.68,3.59,2.69,7.22,2.56,5.08,4.48,4.11,5.7,7.19,5.4,,7.61,4.12,3.45,,3.47,1.78,3.25,4.44,5.52,4,4.29,7.43,7.91,3.59,8.69,6.7,,,,
Total,,,,,,,,,39.08,38.8,38.61,39.25,42.29,32.43,45.3,34.76,41.33,48.44,36.56,,45.21,39.87,34.32,,45.26,29.76,38.54,36.29,36.52,37.27,43.7,42.22,,45.48,45.63,39.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912 Jan ""bad"" so omitted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
