ENNERDALE (GILLERTHWAITE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY143140,Long,-3.325281,Lat,54.514028,Elevation,445,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3655/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.75,12.3,12.7,11.57,9.17,4.45,2.03,12.4,14.3,13.7,8.2,14.5,8,14,9.1,6.9,8.7,9.3,6.6,6.2,7.3,6.1,10.8,11.3,4.9,13.8
February,,,,,11.09,5.01,11.68,4.67,12.05,3.2,10.2,3,8.1,4.2,10,6.6,1.6,7.3,7.1,8.7,6.5,5.1,4.9,8.5,3.5,2,9.5,11.8,4.5,11.1
March,,,,,1.58,6.47,4.74,6.37,7.05,10.75,4.3,7,2.9,1.3,5.6,6.4,11,7.6,5.1,8.3,7.6,8.1,3.1,7.2,4.1,4.1,8.4,4.5,7.9,3.6
April,,,,,5.1,1.72,6.13,1.12,5.1,3,5.2,5.2,5.5,4.2,5.9,2.9,11.1,4.3,10.5,7,6.5,6.8,4.1,4.6,8.2,3.1,6.9,4.25,6.4,9.9
May,,,,,0.85,1.7,2.12,8.85,1,1.8,6.6,7,6.5,4.5,8.8,2,4.1,3.4,4.2,3.1,3.1,5.9,4.1,5.6,7.5,4.5,6.9,7,2,5.6
June,,,,,6.2,7.68,6.21,11.25,7.75,1.5,1.5,1.1,6.4,8.2,5.8,8.6,5.5,11.3,1.4,6.6,4.2,6,6,9.2,6.8,4.6,5.8,6.7,6,6.2
July,,,,,3.37,9.84,5.19,16.99,12.7,8.1,3.7,6.9,4.8,4.1,7.2,8.6,5.5,8.4,5.5,7.4,6,5.7,12.3,9.7,6.6,7.5,6.9,5.9,5.3,13
August,,,,,6,5.66,4.14,5.75,3.65,4.3,9.2,11.6,15.4,10.1,2.9,9.9,0.4,9.8,4.2,11,11.2,7.6,9.2,9.4,5.6,9.1,7.2,6.4,2.9,4.9
September,,,,,13.35,7.66,8.63,6.22,4.2,8.5,3.3,12.5,10.6,8.9,8.6,17.4,9.1,11.9,4.7,14,10.3,7.5,11.5,10.4,6.1,7.8,9.5,8.5,2.3,7.2
October,,,,,11.25,7.9,4.61,19.47,2.9,7.4,11,12.1,13.7,8.5,9.15,0.9,1.9,8.6,9.5,6.8,2.6,7.8,7.2,15.8,5.5,7.8,9.9,11.8,12.5,5.1
November,,,,,9.1,10.29,2.05,14.05,13.65,10,6.4,2.9,6.9,12.1,0.7,17.4,15.7,8.9,12.6,8.6,12.2,4.8,12.25,18,4.5,3.8,4.5,3.3,15.5,17.8
December,,,,,4.45,14.61,7.08,7.91,4.8,11.8,1.1,12.7,4.5,9.2,7.1,12.8,5.1,10.7,14.3,4.75,15.1,7.5,8,15.6,7.1,10.3,9.4,7.5,19,6.3
Total,,,,,77.09,90.84,75.28,114.22,84.02,74.8,64.53,94.4,99.6,89,79.95,108,79,106.2,88.2,93.15,94,82.1,89.25,120.2,72.8,70.7,95.7,88.95,89.2,104.5
