"ENNERDALE (GILLERTHWAITE)",,,,,,,,,,,,
Grid ref,NY143140,Long,-3.325281,Lat,54.514028,,,,,,,
Station no,3655/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.70,9.30,6.60,6.20,7.30,6.10,10.80,11.30,4.90,13.80,,
February,6.50,5.10,4.90,8.50,3.50,2.00,9.50,11.80,4.50,11.10,,
March,7.60,8.10,3.10,7.20,4.10,4.10,8.40,4.50,7.90,3.60,,
April,6.50,6.80,4.10,4.60,8.20,3.10,6.90,4.25,6.40,9.90,,
May,3.10,5.90,4.10,5.60,7.50,4.50,6.90,7.00,2.00,5.60,,
June,4.20,6.00,6.00,9.20,6.80,4.60,5.80,6.70,6.00,6.20,,
July,6.00,5.70,12.30,9.70,6.60,7.50,6.90,5.90,5.30,13.00,,
August,11.20,7.60,9.20,9.40,5.60,9.10,7.20,6.40,2.90,4.90,,
September,10.30,7.50,11.50,10.40,6.10,7.80,9.50,8.50,2.30,7.20,,
October,2.60,7.80,7.20,15.80,5.50,7.80,9.90,11.80,12.50,5.10,,
November,12.20,4.80,12.25,18.00,4.50,3.80,4.50,3.30,15.50,17.80,,
December,15.10,7.50,8.00,15.60,7.10,10.30,9.40,7.50,19.00,6.30,,
Total,94.00,82.10,89.25,120.20,72.80,70.70,95.70,88.95,89.20,104.50,,
Calc annual,94.00,82.10,89.25,120.20,72.80,70.70,95.70,88.95,89.20,104.50,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
