"MARKINCH (ROTHES)",,,,,,,,,,,,
Grid ref,NO283015,Long,-3.157211,Lat,56.200680,,,,,,,
Station no,5484/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.33,2.06,0.69,2.67,1.70,2.79,4.75,1.85,1.21,4.44,,
February,2.38,0.52,0.81,2.51,2.72,1.80,3.40,3.05,0.62,2.36,,
March,2.97,2.79,0.77,2.96,2.26,1.31,2.23,2.43,1.16,2.89,,
April,1.83,1.73,2.26,1.50,0.92,0.87,1.00,2.18,2.42,1.21,,
May,2.17,1.86,2.53,6.59,2.35,1.06,1.97,2.40,0.71,1.70,,
June,2.22,2.63,1.07,2.29,1.16,4.16,1.53,2.97,2.43,1.49,,
July,6.18,1.96,4.27,3.15,1.16,5.47,5.74,5.47,3.99,2.93,,
August,3.28,3.17,2.25,3.55,0.68,5.90,4.25,3.33,0.76,3.09,,
September,1.98,1.37,3.33,3.17,1.65,3.59,1.83,2.67,0.76,1.38,,
October,0.36,2.37,1.51,7.79,1.89,1.65,2.42,2.55,2.04,5.41,,
November,5.07,2.06,3.56,4.67,1.78,0.57,1.70,1.14,6.48,3.98,,
December,2.92,2.46,3.39,2.91,4.78,2.61,3.58,6.56,4.94,2.98,,
Total,35.69,24.98,26.44,43.76,23.05,31.78,34.40,36.60,27.52,33.86,,
Calc annual,35.69,24.98,26.44,43.76,23.05,31.78,34.40,36.60,27.52,33.86,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
