"NAVAN BALRATH HOUSE, BALRATH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO0062864630,Long,-6.47975,Lat,53.62202,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,4.75,0.77,5.72,2.35,2.04,0.99,1,2.08,3.46,3.37,1.53,4.08,2.57,1.21,3.21,2.59,,,,,,,,,
February,,,,,,1.71,3.6,1.78,1.69,2.47,2.07,3.36,2.91,2.74,2.75,2.72,1.52,0.92,0.41,2.35,0.89,,,,,,,,,
March,,,,,,0.85,2.54,3.79,1.31,1.92,3.61,2.01,2.58,1.03,1.87,1.29,3.65,1.12,4.14,1.9,2.85,,,,,,,,,
April,,,,,,0.84,1.88,2.89,1.89,1.45,2.68,1.58,3.29,1.22,1.39,3.35,2.16,1.64,2,2.52,0.99,,,,,,,,,
May,,,,,,2.38,0.67,2.34,3.88,2.18,0.38,2.96,3.09,2.23,1.73,1.84,5.39,1.12,2.24,2.07,1.76,,,,,,,,,
June,,,,,,3.12,1.47,2.14,3.87,4.62,2.23,3.25,2.82,2.01,1.03,1.01,1.6,0.21,3.9,0,3.14,,,,,,,,,
July,,,,,,4.68,1.27,2.78,0.48,4.34,5.76,2.44,6.37,2.52,3.2,0.72,2.45,1.75,5.25,0.99,2.02,,,,,,,,,
August,,,,,,1.48,2.98,4.42,4.73,3.03,1.63,5.01,2.91,2.15,1.23,2.6,3.17,1.78,2.62,5.49,3.68,,,,,,,,,
September,,,,,,5.47,3.74,2.09,3.19,3.96,1.98,1.48,3.98,2,1.55,3.88,2.92,1.4,0.73,1.33,1.99,,,,,,,,,
October,,,,,,4.39,3.66,2.16,1.84,0.99,5.88,3.04,3.58,2.77,1.66,4.03,5.4,1.15,0.82,4.41,1.19,,,,,,,,,
November,,,,,,3.83,4.4,3.17,1.32,0.77,3.61,2.87,4.22,3.38,2.16,2.14,1.96,3.97,4.83,1.56,,,,,,,,,,
December,,,,,,2,6.53,2.9,1.3,1.2,2.4,2.86,3.43,1.81,3.03,0.9,3,1.35,2.9,3,,,,,,,,,,
Total,,,,,,35.5,33.51,36.18,27.85,28.97,33.22,31.86,41.26,27.32,24.97,26.01,37.3,18.98,31.05,28.83,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House built for the Walsh family in 1780.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. W. Walsh was the observer throughout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
