MALMESBURY-ELM-LEAZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST936862,Long,-2.093745,Lat,51.574629,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.06,5.03,0.98,0.76,2.95,3,0.53,1.63,2.68,4.45,2.81,3.04,4.44,4.18,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.02,1.11,1.28,6.09,4.54,0.65,1.51,3.38,1.61,0.14,3.5,,0.27,2.45,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,5.63,1.44,1.52,1.29,3.6,2.99,1.04,3.01,1.58,0.6,2.9,1.52,3.33,1.71,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.52,1.93,1.73,2.83,2.88,2.02,2.43,0.32,1.04,2.25,0.31,0.83,3.26,1.4,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.69,4.86,3,3.63,2.64,3.89,2.64,1.8,4.53,0.75,1.74,2.43,2.22,1.51,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.51,2.33,0.58,1.33,1.43,1.66,1.84,6.21,3.07,2.02,1.21,4.58,2.46,2.45,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.37,0.83,2.32,4.67,1.26,0.67,3.64,2.29,0.22,4.29,3.79,2.25,2.31,3.66,,,,,,,,,,,,,,,,,,,,,
August,,,,,,6.21,0.69,3.76,2.14,5.17,5.66,4.65,3.79,3.07,0.82,3.85,3.17,2.3,1.53,4.15,,,,,,,,,,,,,,,,,,,,,
September,,,,,,4.14,1.7,2.1,1.28,4.68,5.64,2.19,3.74,4.39,0.67,2.77,3.96,4.94,0.13,4.02,,,,,,,,,,,,,,,,,,,,,
October,,,,,,1.08,0.46,3.07,6.37,1.27,1.23,4.81,2.44,2.95,1.76,1.26,2.54,2.52,2.06,5.55,,,,,,,,,,,,,,,,,,,,,
November,,,,,,5.16,1.82,1.72,3.55,5.78,6.25,4.25,1.7,6.91,3.17,0.98,1.53,2.61,2.96,4.92,,,,,,,,,,,,,,,,,,,,,
December,,,,,,2.08,2.32,4.76,1.39,2.36,2.26,2.43,0.83,2.71,3.63,3.78,1.97,3.78,6.19,4.63,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,24.79,32.94,26.14,39.86,40.34,33.21,26.13,38.67,24.78,27.14,29.43,,31.16,40.63,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
