MALMESBURY-ELM-LEAZE (LEA HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST946860,Long,-2.07889,Lat,51.57317,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.21,4.9,3.09,4.48,1.02,3.84,2.06,2.86,2.27,2.16,0.56,3.2,4.15,2.65,5.41,2.77,3.62,2.65,4.51,1.19,1.47,2.33,,,,
February,,,,,,3.6,2.36,4.97,2.11,0.73,0.78,1.71,0.1,3.18,0.26,2.11,2.16,4.2,0.85,1.58,2.5,2.86,0.59,1.25,0.55,2.3,2.35,,,,
March,,,,,,0.28,0.56,2.91,2.67,0.15,1.72,0.4,2.29,3.11,2.09,0.76,2.36,3.64,0.17,1.79,2.25,2.8,2.33,1.17,0.17,0.98,1.08,,,,
April,,,,,,1.67,2.85,1.43,1.61,0.86,1.91,2.5,3.14,1.54,2.02,4.48,1.97,3.05,0.15,3.37,2.21,1.29,0.97,0.9,1.71,1.03,1.98,,,,
May,,,,,,3.29,2.74,0.87,0.86,2.2,1.37,4.62,6.47,1.93,0.87,1.47,1.26,2.27,2.05,1.22,1.49,1.72,4.79,2.67,2.04,2.41,3.56,,,,
June,,,,,,0.05,1.93,3.56,2.78,0.73,1.19,4.79,1.28,1.46,2.52,3.93,2.79,1.84,1.34,1.97,1.53,1.91,0.3,1.94,2,3.42,2.25,,,,
July,,,,,,2.99,3.38,3.72,3.44,1.24,2.94,3.81,3.13,1.86,1.73,0.86,5.07,2.63,2.1,4.91,3.76,2.38,3,1.62,2.61,1.26,,,,,
August,,,,,,2.88,2.04,4.79,1.91,2.83,2.27,3.92,0.85,0.99,2.39,1.85,0.33,0.47,2.53,1.73,0.11,4.29,4.87,3.21,2.93,2.88,,,,,
September,,,,,,3.52,0.76,6.08,1.33,0.43,3.48,2.16,3.76,4.01,2.3,5.26,4.69,2.23,2.7,0.82,1.17,0.62,1.64,2.35,2.63,1.77,,,,,
October,,,,,,3.34,3.27,1.62,4.47,3.99,2.03,0.53,5.42,2.73,1.66,4.98,1.38,4.23,4.26,3.44,2.97,1.62,3.73,2.8,3.71,3.93,,,,,
November,,,,,,2.12,6.67,2.49,2.69,6.56,3.73,3.54,1.91,0.77,1.53,5.8,3.07,1.5,3.65,4.81,7.43,2.19,1.67,1.46,4.95,0.49,,,,,
December,,,,,,3.88,0.44,2.79,2.84,5.7,3.34,1.35,1.16,0.56,6.14,3.64,2.51,2.05,2.79,1.81,1.11,1.82,3.4,1.16,1.58,4.19,,,,,
Total,,,,,,30.83,31.9,38.32,31.19,26.44,28.6,31.39,32.37,24.41,25.67,35.7,30.79,32.26,25.24,32.86,29.3,27.12,29.94,25.04,26.07,26.13,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1 mile W in July 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
