"SEAMER (IRTON PUMPING STATION)",,,,,,,,,,,,
Grid ref,TA005841,Long,-0.459310,Lat,54.242736,,,,,,,
Station no,3461,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.97,2.78,1.21,2.05,1.76,4.50,1.34,2.85,2.70,5.65,,
February,3.18,1.04,2.61,2.21,1.91,2.38,2.64,4.55,0.37,2.46,,
March,3.26,1.64,0.22,2.38,2.23,0.98,1.16,2.61,1.35,1.61,,
April,1.77,1.14,2.46,0.44,0.85,0.91,0.77,1.25,2.64,0.45,,
May,4.84,1.49,1.86,2.02,3.36,0.75,1.04,2.65,0.49,1.05,,
June,1.25,1.70,2.86,1.51,1.61,3.44,1.36,4.44,1.41,0.49,,
July,2.04,2.32,2.12,1.47,1.25,4.50,3.52,2.75,2.28,3.91,,
August,5.45,2.19,3.02,4.85,0.86,6.46,2.81,2.26,0.23,3.04,,
September,0.89,4.77,1.50,1.70,1.52,1.63,3.67,1.61,0.46,2.56,,
October,0.84,2.65,1.75,3.61,2.78,1.99,2.97,1.43,2.04,10.06,,
November,5.24,5.02,2.22,5.19,1.45,1.69,3.05,0.91,4.20,4.34,,
December,2.12,2.73,1.14,2.62,4.52,2.60,2.16,3.61,3.79,4.48,,
Total,32.85,29.47,22.97,30.05,24.10,31.83,26.49,30.92,21.96,40.10,,
Calc annual,32.85,29.47,22.97,30.05,24.10,31.83,26.49,30.92,21.96,40.10,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
